id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,1885,1,step3_response.$parsed.models[0].explanation,step3_explanation,threshold model,duverger's law,openai/text-embedding-3-small,-3.905064105987549,0.8002436757087708,该模型指出，在单一选区简单多数制下，选举系统倾向于产生两党制。干预通过推动排序复选制等比例代表制元素，旨在打破杜瓦杰定律的机械和心理效应，降低策略性投票压力，从而允许多党竞争出现。
2,1885,1,step3_response.$parsed.models[1].explanation,step3_explanation,threshold model,threshold model of collective behavior,openai/text-embedding-3-small,-4.293832778930664,0.7867350578308105,该模型描述了个人行为如何依赖于已采取该行为的他人比例。通过优先在地方层级赢得选举和推动规则改革，旨在降低其他选民支持第三党或改革倡议的感知风险和社会门槛，当成功案例积累超过临界阈值时，可能引发全国性的快速政治重组。
3,25288,2,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,-2.914891004562378,7.277115821838379,该模型将司法系统视为一个贝叶斯决策者。初始指控状态是‘有罪’的先验概率。干预（请求分流计划）引入了新的观察期。在观察期内，被告完成课程和服务的行为，作为新的证据，被系统用来更新对被告‘再犯风险’和‘改造潜力’的后验信念。成功完成所有条件，使后验信念更新为‘低风险/已改造’，从而触发程序终止（撤销指控）这一最优决策。
4,25288,2,step3_response.$parsed.models[1].explanation,step3_explanation,sequential game,sequential game with conditional strategy,openai/text-embedding-3-small,5.683043003082275,0.315515398979187,该模型将过程建模为一个两阶段的扩展式博弈。第一阶段，司法系统提供‘分流’这一条件策略。第二阶段，被告选择‘合作’（完成条件）或‘背叛’（违反条件）。司法系统的最终决策（撤销或维持指控）是被告第二阶段行动的函数。该博弈的均衡路径是：被告选择合作以换取指控撤销，司法系统在观察到合作后执行撤销。这通过改变博弈的支付结构和行动顺序，将结果从（定罪，惩罚）转向（合作，撤销）。
5,25288,2,step3_response.$parsed.models[2].explanation,step3_explanation,threshold based decision rule,threshold based decision rule,openai/text-embedding-3-small,-0.8868614435195923,-1.1573771238327026,该模型将司法决策抽象为一个数学函数：若观测变量X（如课程完成度、违规次数）满足 X ≤ T（阈值T，如零违规、100%完成），则输出Y = 撤销指控；否则输出Y = 推进原指控。干预（请求分流）的作用是激活并适用这一特定决策函数，替代了原先基于‘事实是否成立’的决策函数。结构性改变正是决策函数从 f(证据) 变为 g(绩效指标 ≤ T)。
6,5291,3,step3_response.$parsed.models[0].explanation,step3_explanation,decision tree,decision tree,openai/text-embedding-3-small,-5.063375949859619,1.7056821584701538,该模型将幽默内容评估分解为三个顺序的二元分类节点（笑点位置、权力关系、误解风险），每个节点应用布尔逻辑判断。任一节点为真则触发‘中断传播’的叶节点决策。这种树状结构将模糊的道德直觉转化为可重复、可验证的分类规则，确保决策的一致性和透明性，从而系统性地阻断有害内容的传播路径。
7,5291,3,step3_response.$parsed.models[1].explanation,step3_explanation,bounded rationality,bounded rationality,openai/text-embedding-3-small,-4.178433895111084,1.249541997909546,该模型解释了个体在复杂社会情境（如幽默判断）中无法进行完全理性计算，而依赖启发式。三层过滤规则提供了一个预设的、认知负荷较低的‘满意性’启发式（satisficing heuristic），帮助个体在有限时间、信息和认知资源下，做出符合长期道德偏好的决策，避免因即时情境压力而偏离理性认知。
8,5291,3,step3_response.$parsed.models[2].explanation,step3_explanation,threshold model,threshold model of social influence,openai/text-embedding-3-small,-5.500502109527588,1.467677116394043,该模型将个体传播某类内容的行为视为当其感知到的社会接受度超过某个阈值时触发。三层过滤规则实质上是将个体的传播阈值对于‘性暴力正常化内容’提高到接近无穷大（任何过滤条件为真则绝不传播），而对于‘批判性讽刺内容’保持较低阈值。这从微观上改变了节点的传播规则，从而在宏观上改变了此类内容在网络中的扩散动力学，使其传播链更容易中断。
9,8912,4,step3_response.$parsed.models[0].explanation,step3_explanation,nash equilibrium,nash equilibrium,openai/text-embedding-3-small,8.16925048828125,3.1600255966186523,原状态是版权方利用DMCA机制（优势策略）迫使内容下架的纳什均衡。干预通过移除版权材料这一策略维度，改变了博弈的收益矩阵：版权方无法再以版权侵权为由发起移除，其原有优势策略不再可行。系统被推向一个新的均衡点，其中内容创作者的文字报告（纯事实描述）成为不可被移除的策略，而版权方的最优反应变为要么修复漏洞（成本高但消除风险），要么承受舆论压力（成本可变）。新均衡下，信息传播得以实现。
10,8912,4,step3_response.$parsed.models[1].explanation,step3_explanation,graph theory,minimum cut,openai/text-embedding-3-small,-6.015636920928955,1.2857568264007568,将原情境建模为一个信息流网络：从创作者（源点）到公众（汇点）存在多条路径，其中‘视频路径’包含‘版权材料’这一节点。版权方的攻击是在该节点施加了一个容量为0的割（移除）。干预策略是主动移除‘版权材料’节点（或将其替换为不受攻击的‘事实描述’节点），从而在信息流网络中寻找并构建一个从源到汇的、避开所有可被攻击节点的最小割集。新的文字报告路径构成了这样一个最小割——它移除了最少的、易受攻击的元素（视觉材料），但保持了信息流（漏洞事实）的连通性，使对手无法以合理成本阻断该路径。
