id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,25288,1,step3_response.$parsed.models[0].explanation,step3_explanation,real options theory,real option,openai/text-embedding-3-small,6.16749906539917,-0.9304608702659607,该模型量化了延迟决策、保留未来选择权的期望价值，此处不认罪获得了缓冲时间与专业支持，保留了获得更优结果的选择权，期望净收益高于即时认罪
2,25288,1,step3_response.$parsed.models[1].explanation,step3_explanation,minimax decision rule,minimax regret,openai/text-embedding-3-small,5.8782453536987305,-5.312778949737549,该模型选择最小化最大潜在遗憾的方案，即时认罪的最大遗憾是永久留下涉毒案底，不认罪的最大潜在结果不劣于即时认罪，符合该模型的最优决策规则
3,28686,2,step3_response.$parsed.models[0].explanation,step3_explanation,threshold models,binary threshold model,openai/text-embedding-3-small,1.5285109281539917,5.005345821380615,"This model defines that the system will switch binary states when the input variable crosses the preset threshold. The 45-day statutory claim deadline in this case is the preset threshold, after the landlord's claim crosses the threshold, the system switches to the state where the landlord forfeits the right of claim. This strategy anchors the objective fact of crossing the threshold and locks in the favorable state for the tenant."
4,29760,3,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,15.660600662231445,3.7681827545166016,该模型描述决策主体根据新观测信息更新主观概率信念的过程，原本经销商低估车主正式维权的概率，收到律师函后更新信念，进而改变逃避违约责任的决策
5,29760,3,step3_response.$parsed.models[1].explanation,step3_explanation,nash equilibrium,subgame perfect nash equilibrium,openai/text-embedding-3-small,8.038742065429688,-0.08749781548976898,该模型通过逆向归纳剔除序贯博弈中含非可信威胁的纳什均衡，我们的预先准备让起诉的威胁变得可信，引导博弈走向经销商选择和解赔付的均衡结果
6,8912,4,step3_response.$parsed.models[0].explanation,step3_explanation,constrained optimization,constrained optimization,openai/text-embedding-3-small,5.961983680725098,-3.898005723953247,该模型将用户有限的时间与经济成本设定为可行决策集的约束条件，把最小化个人额外损失、保留自身行为合法性的定性作为目标函数，可求解得到符合用户实际利益的最优决策
7,24086,5,step3_response.$parsed.models[0].explanation,step3_explanation,minimax decision rule,minimax,openai/text-embedding-3-small,-1.709557294845581,-1.4042274951934814,"This decision model selects the action that minimizes the maximum possible loss, it eliminates the worst outcome of bench warrant for failure to appear, and caps the total case resolution cost at a predictable fixed level"
8,24086,5,step3_response.$parsed.models[1].explanation,step3_explanation,expected utility theory,expected utility theory,openai/text-embedding-3-small,-0.2866423428058624,0.46299371123313904,"This model calculates the expected net benefit of hiring a local lawyer by weighting the high probability of case dismissal, confirming it outperforms options of cross-state travel or ignoring the summons"
9,44,6,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,11.089644432067871,5.79705286026001,该模型描述信息不对称下，拥有私人信息的一方通过发送可验证信号改变信息劣势方的决策信念，最终达成对发送方有利均衡的机制，此处用户的正式异议等动作作为可信信号，改变警报公司的决策激励，促使其停止错误催收
10,44,6,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,15.120156288146973,4.527437686920166,该模型描述理性主体根据新获取的证据，通过贝叶斯法则更新自身对事件发生概率的信念，用户提供的无责证据将大幅降低警报公司对用户有责的后验概率判断，促使其调整催收行动
11,19575,7,step3_response.$parsed.models[0].explanation,step3_explanation,decision tree,decision tree analysis,openai/text-embedding-3-small,-2.558227777481079,-0.6670917868614197,"This model takes the uncertain liability ruling result as a random branch, presets the optimal action for each branch, sorts out an orderly path to deal with uncertainty, and eliminates extra losses caused by chaotic decision-making"
12,19575,7,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,-6.199875354766846,3.228569746017456,"High-credibility objective iron evidence updates the posterior probability distribution of the insurance company on accident liability, greatly increasing the probability of it making a fact-compliant non-liability ruling"
13,57157,8,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signalingmodel,openai/text-embedding-3-small,9.183411598205566,6.875971794128418,拥有私人信息的消费者通过可置信的正式维权动作向健身房传递自身懂法、愿意推进维权的信号，消除健身房的信息差优势，修正健身房对消费者类型的判断
14,57157,8,step3_response.$parsed.models[1].explanation,step3_explanation,nash equilibrium,nashbargainingsolution,openai/text-embedding-3-small,6.911688327789307,2.3543267250061035,该模型通过调整讨价还价双方的不一致点（威胁点）支付，将消费者的法定胜诉优势转化为实际谈判筹码，重新分配谈判剩余，推动健身房做出让步达成和解
15,13020,9,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,15.409747123718262,3.618720293045044,"该模型定义了根据新观测信息更新对特定假设后验概率的机制，通过提交""无控制权、不知情、司机未被罚""的新观测，将""当事人有罪""的后验概率降到定罪要求的合理怀疑标准以下"
16,13020,9,step3_response.$parsed.models[1].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,11.79672622680664,7.0096282958984375,"该模型描述了不完全信息下私人信息持有者通过可观测行动传递信号改变对方决策的机制，聘请本地专业律师向控方传递出""该案抗辩明确、控方胜诉概率低""的信号，促使控方选择撤销指控"
17,17153,10,step3_response.$parsed.models[0].explanation,step3_explanation,expected utility theory,expected utility model,openai/text-embedding-3-small,10.607996940612793,-0.07163584977388382,原状态中骚扰违规的预期惩罚成本极低，骚扰行为的期望效用高于合规行为；本干预通过刚性惩罚机制拉高骚扰行为的预期成本，使骚扰行为期望效用低于合规不越界行为，从决策根源减少骚扰发生
