id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,83075,1,step3_response.$parsed.models[0].explanation,step3_explanation,constrained optimization,constrained optimization,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.412843942642212,-5.3303937911987305,当前状态下，自伤或冲动行为可被抽象为在有限时间内对多个行动方案进行选择的优化问题；移除车辆、工具和独处状态，相当于收缩可行域并提高危险行为的约束成本，从而把最优解从高风险行为转移到求助和被监护状态。
2,114418,2,step3_response.$parsed.models[0].explanation,step3_explanation,attractor dynamics,bistable dynamical system,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.2098522186279297,-8.875207901000977,当前状态可视为位于高风险吸引域附近的系统；让当事人不独处、移除工具并引入外部监督，相当于提高状态转移的势垒、削弱危险行为的正反馈，使系统跨过阈值进入低风险吸引域，从而降低短期自伤概率。
3,114418,2,step3_response.$parsed.models[1].explanation,step3_explanation,constrained optimization,constrained optimization,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.164154052734375,-5.449059009552002,将当前行为选择从‘冲动驱动的即时最优’改写为‘在外部约束下的可行解搜索’，通过约束集合收缩和目标函数重加权，把短期冲动行为从可行域中排除，迫使系统选择更安全的行动路径，如求助和就医。
4,114418,2,step3_response.$parsed.models[2].explanation,step3_explanation,survival analysis,survival analysis,nvidia/llama-nemotron-embed-vl-1b-v2:free,-4.800941467285156,-5.437440872192383,自杀行为风险可被视为随时间变化的事件发生危险率；立刻求助、移除手段和增加陪伴，会降低当前危险率并缩短到专业干预的时间，从而在事件尚未发生前把概率质量转移到‘接受帮助而非发生自伤’的轨道上。
5,9102,3,step3_response.$parsed.models[0].explanation,step3_explanation,markov decision process,markov decision process,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.770936965942383,-7.935953617095947,可以把当前心理与环境状态视为状态变量，把联系他人、转移到有人环境、移除工具、呼叫急救视为动作；这些动作通过改变状态转移概率，把系统从高风险状态导向低风险状态或受保护状态。该模型精确刻画了为什么增加外部约束与降低可达性会显著改变后续行为分布。
6,5672,4,step3_response.$parsed.models[0].explanation,step3_explanation,no free lunch theorem,no free lunch theorem,nvidia/llama-nemotron-embed-vl-1b-v2:free,-3.034838914871216,-8.076288223266602,无合适映射；对当前情境最有效的不是寻找抽象模型，而是立即执行危机安全流程：移除手段、保持陪伴、联系急救或急诊。
7,67725,5,step3_response.$parsed.models[0].explanation,step3_explanation,threshold model of collective behavior,threshold model of collective behavior,nvidia/llama-nemotron-embed-vl-1b-v2:free,-3.3347437381744385,-6.478459358215332,该模型用个体的行为阈值表示其从意向转化为行动所需的条件；当外部约束提高行动成本、降低可得性并增加监督时，系统状态被推离触发点，从而降低从意图到实施的跃迁概率。
8,89522,6,step3_response.$parsed.models[0].explanation,step3_explanation,markov decision process,markov decision process,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.9265005588531494,-8.35354995727539,"The crisis procedure reduces the expected value of harmful actions by changing state transition probabilities and available actions: moving the person to a visible setting, removing means, and involving responders alter the reachable states and increase the probability of interruption before an irreversible transition occurs."
9,89522,6,step3_response.$parsed.models[1].explanation,step3_explanation,bounded rationality,bounded rationality,nvidia/llama-nemotron-embed-vl-1b-v2:free,-2.3682632446289062,-5.28524112701416,"By narrowing the action set and increasing external constraints, the intervention compensates for impaired self control and limited deliberation in a high arousal state, making unsafe choices less likely to be selected and carried through."
10,89522,6,step3_response.$parsed.models[2].explanation,step3_explanation,control theory,control theory,nvidia/llama-nemotron-embed-vl-1b-v2:free,0.6830642223358154,-10.691850662231445,"External supervision and emergency referral act as feedback control: when risk signals exceed a threshold, the system is redirected into a safer equilibrium via intervention, preventing uncontrolled escalation."
