id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,73920,1,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems theory,critical phase transition model,openai/text-embedding-3-small,-4.843286037445068,-1.4255396127700806,自杀危机系统处于准稳态（quasi-stable state），混合大量药物提供了系统跨越相变边界的'临界核'（critical nucleus）。移除致命手段等价于移除临界核，使系统无法突破相变阈值，从而将系统锁定在亚临界状态。熬过急性窗口期对应于等待系统弛豫回到稳态吸引子。
2,73920,1,step3_response.$parsed.models[1].explanation,step3_explanation,threshold model,threshold model,openai/text-embedding-3-small,-4.831976413726807,-1.0020477771759033,当系统变量（此处为自杀意图强度与可及手段剂量的乘积）超过临界阈值时，系统行为发生质变。混合药物已达到或超过Lethal dose threshold，此时'熬过急性窗口'成为唯一首阶目标——因为系统已处于阈值之上，任何低于阈值的干预（自助、渐进改变）无法改变系统轨迹。这决定了intervention必须是'立即升级到急救服务'——只有最大强度干预才能匹配系统风险级别。
3,73920,1,step3_response.$parsed.models[2].explanation,step3_explanation,decomposition principle,decomposition principle,openai/text-embedding-3-small,-4.636225700378418,-0.41520261764526367,将高维耦合系统分解为低维独立子系统分别处理是优化复杂系统的核心策略。用户的危机系统包含两个不同的平衡机制：急性自杀危机机制和慢性抑郁/焦虑机制。通过'移除致命手段'将急性机制重置为稳态，通过'药物审查+难治性抑郁评估'处理慢性机制。结构性改变（'急性危机层与底层疾病分离'）对应于此解耦操作。
4,87731,3,step3_response.$parsed.models[0].explanation,step3_explanation,reinforcement learning,temporal difference error,openai/text-embedding-3-small,5.117224216461182,10.492340087890625,"Dopamine neurons encode reward prediction error (RPE): actual reward minus expected reward. When RPE=0, no learning occurs; when RPE>0, the value of the taken action is increased. Anhedonia represents complete RPE collapse—the user receives reward but experiences zero dopamine signal (no pleasure delta). SSRI/SNRI restore serotonin/dopamine tone, recommencing TD learning so behavior-outcome associations regain their reward signal and goal-directed behavior reconstitutes."
5,87731,3,step3_response.$parsed.models[1].explanation,step3_explanation,generative model,generative model,openai/text-embedding-3-small,6.400967597961426,6.7441864013671875,"In the Free Energy Principle / active inference framework, organisms maintain internal generative models of the world and self that generate predictions about states and outcomes. Depression/anhedonia induces a pathological self-model where 'I am fundamentally incapable' becomes the prior. Clinical diagnosis reframes this: the generative model now includes 'this is a treatable medical condition,' which changes predicted outcomes from 'inevitable failure' to 'reversible state,' enabling the system to explore rather than freeze. Medication + therapy jointly update this model parameters."
6,87731,3,step3_response.$parsed.models[2].explanation,step3_explanation,hebbian plasticity,hebbian plasticity,openai/text-embedding-3-small,-1.776033639907837,14.130555152893066,"Hebb's postulate: 'cells that fire together, wire together'—synaptic strength increases when pre- and post-synaptic neurons are co-activated. Anhedonia weakens the associative links between environmental stimuli and reward representation because the dopamine signal (post-synaptic reward neuron activation) no longer fires in response to reward. SSRI/SNRI increase BDNF and neuroplasticity, allowing Hebbian potentiation to reconstitute the cue-reward associations. Behavioral activation provides the 'fire together' co-activation events needed to rewire these weakened synapses."
7,83075,4,step3_response.$parsed.models[0].explanation,step3_explanation,network theory,percolation theory,openai/text-embedding-3-small,-6.548789024353027,2.151796340942383,自杀危机个体本质上是一个与支持网络断开连接的孤立节点。热线、通知可信人员、急诊评估等干预通过强制建立新连接，使个体网络连通度跨越渗流临界点，从而将「不可见→不可及」的系统状态转变为「可见→可及」状态。
8,83075,4,step3_response.$parsed.models[1].explanation,step3_explanation,dynamical systems theory,dynamical systems theory,openai/text-embedding-3-small,0.5418006181716919,-6.73323917388916,抑郁状态是一个具有强吸引子的动力学系统。常规治疗（心理治疗+药物）提供的吸引力无法突破当前吸引 basin。危机热线和急诊干预提供外部控制输入（forcing term），改变系统的势能 landscape，使系统有可能跳出当前吸引子并进入新的稳定区域。
9,83075,4,step3_response.$parsed.models[2].explanation,step3_explanation,redundancy,redundant systems design,openai/text-embedding-3-small,-6.792065620422363,0.723069965839386,单一治疗渠道（治疗师）失效导致系统完全暴露于风险中。干预引入多元冗余路径：热线（专业备份）→ 可信人员（社会备份）→ 急诊（医疗备份）。冗余结构确保即使单一路径失效，其他路径仍可提供保护功能，显著降低系统整体崩溃概率。
10,98459,5,step3_response.$parsed.models[0].explanation,step3_explanation,markov chain,markov chain with absorbing states,openai/text-embedding-3-small,3.552056074142456,5.910120010375977,"The user's suicidal ideation follows a deterioration trajectory Q→S→L→D, where Q (quality of coping) decreases over time, S (suicidal thought intensity) increases, L (lethal means accessibility) is partially present, and D (death) is the absorbing state. The intervention chain adds absorbing barriers at each transition point: crisis line creates a monitoring checkpoint between Q→S, means removal blocks S→L transition, boyfriend disclosure creates a human monitoring node between S→L, ER presentation adds professional intervention between L→D. Each barrier increases the probability of state redirection before the next transition, effectively reducing the overall absorption probability toward D within 48-72 hours."
