id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,25288,1,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian game,bayesian game with incomplete information,openai/text-embedding-3-small,10.65478515625,-6.105356693267822,"Attorney's legal analysis converts hidden information (legality of stop/search) into common knowledge. Prosecutor's belief distribution over case strength shifts downward. Under incomplete information, prosecutor was willing to proceed; under complete information, expected value of prosecution decreases below threshold for continued pursuit. Equilibrium shifts from defendant's default strategy (guilty plea) to renegotiated outcome."
2,25288,1,step3_response.$parsed.models[1].explanation,step3_explanation,mechanism design,mechanism design with constraint relaxation,openai/text-embedding-3-small,10.108972549438477,-5.32896089553833,"The legal system's mechanism (trial process) has a built-in constraint: illegally obtained evidence must be excluded. Attorney's action (suppression motion) activates this constraint. Prosecutor's feasible strategy set shrinks. Outcome space contracts from {guilty plea, conviction} to {dismissal, reduced charge, negotiated plea}. The mechanism forces prosecutor to optimize over a smaller action set, producing outcome favorable to defendant."
3,17153,2,step3_response.$parsed.models[0].explanation,step3_explanation,bargaining theory,rational choice theory with incentive restructuring,openai/text-embedding-3-small,-0.8645026683807373,1.5368528366088867,该模型假设行为者根据成本收益最大化做决策。干预通过公开、一致的规则执行改变了骚扰行为的预期收益（社群认可消失）和预期成本（被禁言概率提高）。当预期收益<预期成本时，理性行为者的最优策略从骚扰转向不骚扰。
4,17153,2,step3_response.$parsed.models[1].explanation,step3_explanation,signaling game,signaling game with perfect information,openai/text-embedding-3-small,-0.37818270921707153,1.7818224430084229,干预通过公开执行规则将隐性的社群规范转化为显性信号。参与者获得完全信息后，预期骚扰行为的后果从不确定变为确定。这消除了'规则模糊'带来的冒险激励，使理性参与者调整策略以避免已知的惩罚。
5,17153,2,step3_response.$parsed.models[2].explanation,step3_explanation,control theory,feedback control system stabilization,openai/text-embedding-3-small,-0.7469099760055542,0.2693527936935425,该模型将社群视为动力学系统。原状态中骚扰的正反馈循环导致系统发散。干预通过引入制裁机制（负反馈）将系统从不稳定状态拉回稳定均衡。制裁强度、延迟和一致性决定了反馈增益，进而决定收敛速度和稳定的骚扰水平。
6,5291,3,step3_response.$parsed.models[0].explanation,step3_explanation,state space model,state space partitioning,openai/text-embedding-3-small,0.04415544867515564,1.1885594129562378,将单一的模糊认知状态{笑+自谴}通过二元分类函数分割为两个互不重叠的子空间：{笑+逻辑一致性}和{识别+主动选择}。在新的分割空间中，相同的行为（笑）在不同分支上对应不同的认知标签，从而消除原有的矛盾感。
7,5291,3,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian updating,bayesian belief update,openai/text-embedding-3-small,0.7625008225440979,1.0100430250167847,每次笑话接触都对应一次信息更新：显式分类准则充当似然函数，将笑话特征映射到两个类别的概率分布。反复的显式分类过程使得主体对'这个笑话属于哪一类'的后验确定性增加，从而使后续的情感反应（自谴或接纳）成为后验分布的确定性函数，而非模糊的混合状态。
8,5291,3,step3_response.$parsed.models[2].explanation,step3_explanation,control theory,bifurcation,openai/text-embedding-3-small,-0.46340566873550415,0.6080730557441711,干预作用相当于改变了系统的控制参数（从隐性反应到显性分类）。当参数跨越临界值时，系统从单一的混合平衡态分岔为两个分离的稳定态：一条路径收敛到{笑+接纳}，另一条收敛到{识别+戒断}。两条路径都消除了原有的失调，但通过不同的机制。
9,2103,4,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian updating,bayesian information acquisition,openai/text-embedding-3-small,9.018526077270508,-2.53136944770813,"Prior state: outcome probabilities are unknown or uniformly distributed across scenarios. Intervention queries (court clerk, insurance company, attorney) generate likelihood data that updates posterior probability distributions for each strategy option (A, B, C). Expected utility maximization then selects the strategy with highest expected payoff (lowest 3-year cost). The model quantifies how information gathering reduces decision entropy and enables rational selection under previously opaque constraints."
10,2103,4,step3_response.$parsed.models[1].explanation,step3_explanation,mechanism design,mechanism design with incomplete information,openai/text-embedding-3-small,13.06792163848877,-4.421690940856934,"The court clerk and insurance company queries function as revelation mechanisms that expose the true institutional constraint set (what outcomes are actually achievable, not assumed). The prosecutor and insurance underwriter are strategic players with private information about their decision rules. By querying institutional agents, the defendant reveals their constraint sets without direct negotiation. This transforms a hidden-information game into one where payoff-relevant parameters become observable, enabling rational strategy selection. The attorney consultation becomes a conditional move triggered by the revealed cost differential."
