id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,8912,1,step3_response.$parsed.models[0].explanation,step3_explanation,nash equilibrium,nash equilibrium,openai/text-embedding-3-small,8.469447135925293,5.103113651275635,在版权投诉-下架这个离散博弈中，接受下架且不申诉构成一个稳定的策略组合。此时双方都无动机进一步行动：McGraw Hill达到维权目的（移除侵权内容），用户避免诉讼风险和时间成本。该均衡状态下没有任何-player有单方面改变策略的激励。
2,8912,1,step3_response.$parsed.models[1].explanation,step3_explanation,sequential game,backward induction,openai/text-embedding-3-small,8.62302017211914,4.75533390045166,用户通过逆向归纳进行决策：如果继续申诉，对方可能进一步维权（包括诉讼），成本收益比不利于己；如果接受下架，对方大概率停止行动。考虑到用户明确表示不打算争议，最优的阶段理性行为是接受当前状态而非升级冲突。
3,8912,1,step3_response.$parsed.models[2].explanation,step3_explanation,game theory,zero sum game,openai/text-embedding-3-small,8.355066299438477,5.024186611175537,版权纠纷构成典型的零和博弈：McGraw Hill诉求是恢复独家内容控制权（得），用户诉求是避免损失（避免失）。在零和框架下，一方的最优策略往往取决于对对方策略空间的评估。用户的策略（不申诉）实质是在零和竞争中选择退出竞争，避免进入成本更高的博弈阶段（诉讼）。
4,8913,2,step3_response.$parsed.models[0].explanation,step3_explanation,escalation,escalation ladder,openai/text-embedding-3-small,11.40270709991455,7.069970607757568,通过层级递进的投诉路径，将个人层面的道德诉求转化为组织层面的正式档案，产生制度性约束力。每一级升级都改变了博弈中的权力结构和信息流，使得对方不得不在组织规程内回应。
5,8913,2,step3_response.$parsed.models[1].explanation,step3_explanation,regulatory dynamics,regulatory leverage,openai/text-embedding-3-small,10.376983642578125,6.074480056762695,通过援引法定权利并上调至监管层面，将个体的法律依据转化为第三方机构的监督行动。监管机构的介入改变了系统的反馈机制，使管理公司面临潜在的行政处罚或声誉风险，从而获得议价优势。
6,8913,2,step3_response.$parsed.models[2].explanation,step3_explanation,fact opinion dichotomy,documentation trace,openai/text-embedding-3-small,11.504617691040039,-0.13153855502605438,通过创建正式的、可追溯的书面记录，将主观的口头互动转化为客观的制度性证据。这种文档化过程改变了信息的不对称分布，使得租客在未来的租房决策中拥有独立于原房东背书的信用证明。
7,22090,3,step3_response.$parsed.models[0].explanation,step3_explanation,nash equilibrium,nash equilibrium,openai/text-embedding-3-small,9.554765701293945,7.4662017822265625,通过向code enforcement提交证据并启动正式程序，改变了博弈的支付矩阵：邻居的策略选择从'无成本实施负外部性行为'变为'潜在面临罚款/处罚'。这一支付结构的变化导致新的Nash Equilibrium形成——在新的均衡中，停止 leaf-blowing 成为邻居的理性最优策略，因为继续侵害的期望收益为负。
8,22090,3,step3_response.$parsed.models[1].explanation,step3_explanation,deterrence theory,deterrence theory,openai/text-embedding-3-small,10.061137199401855,7.7858991622924805,通过引入外部惩罚机制（code enforcement的潜在处罚）来改变行为人的成本-收益计算。理性行为人（邻居）在评估'继续吹叶侵害'时，现在需要计算被罚款的概率和金额，当预期处罚成本大于预期收益时，理性选择是停止侵害。
9,22090,3,step3_response.$parsed.models[2].explanation,step3_explanation,penalty function,penalty function,openai/text-embedding-3-small,9.813362121582031,7.819406986236572,Code enforcement机制引入了对特定行为（将 debris 吹至他人财产）的惩罚函数 f(x)，其中 x 代表侵害行为。干预前 f(x)=0，干预后 f(x)>0（潜在罚款）。该惩罚函数的存在改变了目标函数的最大化/最小化问题——邻居从单方面收益最大化变为考虑惩罚成本后的净收益最大化，从而改变最优行为选择。
10,5030,5,step3_response.$parsed.models[0].explanation,step3_explanation,hypothesis testing,sequential probability ratio test,openai/text-embedding-3-small,5.843883037567139,12.647164344787598,SPRT是一种序贯假设检验方法，通过逐步收集证据（如律师调查发现的侵权发现时间点）来在两个假设（H0：已超时效 vs H1：时效内）之间做出最优二元决策。模型假设存在一个未知的真实状态θ（侵权发现时间），行动空间A={诉讼，和解}，信息收集成本C（律师费），而决策规则d(n)在积累足够证据后选择a∈A以最大化期望效用。本案例中，干预（聘请律师）的作用就是收集证据以精确推断θ是否在有效期内
