id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,29878,1,step3_response.$parsed.models[0].explanation,step3_explanation,principal agent problem,principal agent problem with information asymmetry resolution,openai/text-embedding-3-small,1.884840488433838,-4.187199115753174,"The employer (principal) cannot observe whether the employee will actually use the $410 option or pocket savings by using the $380 option. By voluntarily revealing costs ($280→$380), the employee converts an unobservable action into an observable commitment, reducing the principal's uncertainty discount and aligning payoff functions. The employer's willingness to reimburse increases when moral hazard is eliminated because the reimbursement now maps directly to actual incremental cost rather than maximum claimed cost."
2,29878,1,step3_response.$parsed.models[1].explanation,step3_explanation,expected utility theory,expected utility maximization under detection risk,openai/text-embedding-3-small,-0.8855446577072144,-3.3990793228149414,"Deceptive strategy yields immediate gain ($120/month × 12 = $1440/year) but carries detection risk with catastrophic payoff (reputational damage, benefit clawback, career impact). Transparent strategy yields smaller immediate gain ($100/month × 12 = $1200/year) but eliminates detection risk and reputational cost. The expected value of the deceptive strategy becomes negative once detection probability and cost of reputational damage are properly weighted, making transparency the dominant strategy in expected utility terms."
3,29878,1,step3_response.$parsed.models[2].explanation,step3_explanation,bayesian updating,bayesian belief updating,openai/text-embedding-3-small,0.08984480798244476,-3.738304615020752,"The employer's prior assumption is that employees may overstate costs. Upon receiving verifiable, internally consistent cost data ($280 current, $380 post-move, $100 increment), the employer's posterior belief shifts toward the employee being a truth-teller type. This higher posterior probability of honesty increases the employer's willingness to grant the full incremental reimbursement, since the claim is now supported by evidence rather than subject to the employer's prior skepticism about cost inflation."
4,52770,2,step3_response.$parsed.models[0].explanation,step3_explanation,sequential game equilibrium,subgame perfect equilibrium,openai/text-embedding-3-small,-0.6197071671485901,-5.607036113739014,"The model captures how a credible, legally-enforceable threat restructures the game tree. By filing a labor board claim (which triggers state enforcement with penalties exceeding the wage), the employee eliminates the employer's profitable deviation path. The employer's optimal strategy at each decision node becomes payment, because any delay leads to a worse payoff in the subgame that follows. The synchronous communication and written deadline create information and commitment that make the threat credible and the equilibrium enforceable."
5,52770,2,step3_response.$parsed.models[1].explanation,step3_explanation,mechanism design,mechanism design with communication constraints,openai/text-embedding-3-small,-0.941385805606842,-4.725043296813965,"The model formalizes how communication protocol choice determines which strategies remain available to each party. By forcing synchronous communication and written documentation, the intervention eliminates the employer's low-cost evasion mechanism. The employer can no longer achieve delay without incurring response costs that approach the cost of compliance itself, making non-compliance strictly dominated. This is the structural principle behind why phone calls and certified letters succeed where emails fail."
6,52770,2,step3_response.$parsed.models[2].explanation,step3_explanation,third party enforcement with penalty multiplication,third party enforcement with penalty multiplication,openai/text-embedding-3-small,-0.8597284555435181,-5.530553817749023,"The model quantifies how introducing an external enforcer with multiplicative penalty authority changes the employer's payoff matrix. Employee alone can threaten job loss or reputation damage (low magnitude). Labor board can impose penalties of 1.1x to 1.5x the wage amount plus investigation costs plus administrative burden. This multiplication of consequences makes non-compliance economically irrational, regardless of the employer's discount rate or time preference. The threat becomes credible because it is backed by institutional authority rather than individual leverage."
7,1822,3,step3_response.$parsed.models[0].explanation,step3_explanation,signaling theory,signaling theory,openai/text-embedding-3-small,-2.539156913757324,7.709344387054443,干预要求构建具体制品而非仅更新简历，这提高了虚假信号的模仿成本。只有真实具备能力的候选人才能承受8-12周的时间成本生成可代码审查的制品。招聘者通过观察这个高成本信号，将候选人从'无差异池'中分离出来，使得面试率从接近零跃升至可测量的正概率。
8,1822,3,step3_response.$parsed.models[1].explanation,step3_explanation,dimensionality reduction,dimensionality and separability in feature space,openai/text-embedding-3-small,-1.4003324508666992,5.988058567047119,当所有候选人仅用'resume features'表示时，它们在一维或低维空间中聚集，难以区分。添加'code artifact quality'维度后，候选人在高维特征空间中获得唯一的坐标。这使得分类器（招聘者的决策规则）能够以更高准确率进行二元划分（面试vs拒绝），直接增加了被正确分类为'可面试'的概率。
9,1822,3,step3_response.$parsed.models[2].explanation,step3_explanation,signaling theory,costly signaling with temporal constraints,openai/text-embedding-3-small,-2.5335628986358643,8.053552627563477,如果允许无限时间，任何人都可能最终完成制品，信号失效。但8-12周的约束创造了'承诺成本'：必须放弃其他活动、展示时间管理和执行力。这种时间-成本耦合使得信号对招聘者而言具有可信度。面试率的提升来自于招聘者对'在有约束条件下仍能交付'这一事实的信任。
10,67680,4,step3_response.$parsed.models[0].explanation,step3_explanation,signaling theory,signaling theory with information asymmetry reduction,openai/text-embedding-3-small,1.5451496839523315,-3.7976748943328857,"In the baseline state, the company holds superior information (knows candidate's reservation price via salary history). The intervention severs this information channel and introduces a public signal (market data) that is costly for the company to dispute. This forces the company to negotiate against an objective benchmark rather than exploiting private information, fundamentally altering the bargaining set and shifting equilibrium toward market-clearing price."
