id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,41066,1,step3_response.$parsed.models[0].explanation,step3_explanation,stackelberg game,stackelberg leadership model,openai/text-embedding-3-small,12.735530853271484,7.103536128997803,领导者-追随者结构。受害者的干预动作实质上是将国家执法系统引入博弈作为 leader，而施害者退至 follower 位置。在原始私人博弈中，施害者占据信息优势和物理控制优势；引入第三方后，这些优势被彻底颠覆。施害者的最优策略从「继续侵害」变为「接受法律制裁」，因为不合作将遭受国家强制力的惩罚。
2,41066,1,step3_response.$parsed.models[1].explanation,step3_explanation,blocking mechanism,blocking mechanism,openai/text-embedding-3-small,13.278796195983887,6.988210678100586,封锁机制。通过改变物理环境的可达性（accessibility）来实现博弈均衡的转移。施害者原本可以通过物理共处空间获得侵害机会，受害者通过获取独立居住控制权（密钥）彻底切断了这一路径。这不是说服或激励改变，而是物理约束结构的根本改变，使施害者无法进入博弈的有效行动空间。
3,41066,1,step3_response.$parsed.models[2].explanation,step3_explanation,mechanism design,mechanism design with third party enforcement,openai/text-embedding-3-small,13.0452299118042,6.615177631378174,第三方执法机制设计。受害者的最优策略不是在自己的能力范围内与施害者竞争，而是将博弈「外包」给一个更强大的执行机构（国家司法系统）。这个机制的运作不依赖于私人博弈的激励结构，而依赖于法律的强制性。通过报案，受害者实际上是在调用这个第三方执行机制，改变了博弈的基本规则和参与者的 payoff 结构。
4,58792,2,step3_response.$parsed.models[0].explanation,step3_explanation,metastability,metastability,openai/text-embedding-3-small,-2.642782688140869,12.491315841674805,亚稳态系统理论 - 关系系统陷入一个看似稳定但不可持续的局部最小值（假性和解的循环），无法自发跳出。干预通过引入正向扰动（要求时间和空间进行内部评估）打破这个局部势阱，使系统能够探索新的状态空间并最终收敛到真正的稳定状态（要么重建信任，要么清晰结束）。
5,58792,2,step3_response.$parsed.models[1].explanation,step3_explanation,constraint projection,constraint projection,openai/text-embedding-3-small,-1.9844012260437012,13.244760513305664,约束投影原理 - 干预通过改变系统的约束条件（移除单向闭环约束，引入双向不确定性约束）使原有的均衡点从可行解集中消失。系统被迫在新的约束空间内重新搜索均衡，从而打破原有的'假稳态均衡'并可能收敛到新的、更可持续的均衡点。
6,58792,2,step3_response.$parsed.models[2].explanation,step3_explanation,bifurcation theory,bifurcation,openai/text-embedding-3-small,-2.463685989379883,12.138025283813477,分岔理论 - 系统在临界点受到微扰后发生定性式的结构变化。干预作为控制参数（引入时间和空间的不确定性）驱动系统通过分岔点，使系统的相轨迹从原来的吸引子（假性和解循环的环 attractor）跃迁到新的吸引子（要么新的合作关系，要么分离）。关键在于分岔点的通过不是连续的，而是系统性质的突变。
7,30611,4,step3_response.$parsed.models[0].explanation,step3_explanation,operant conditioning,extinction,openai/text-embedding-3-small,-4.543889045715332,4.192598819732666,Extinction 是行为心理学中的核心机制：当一个已建立的条件反应不再得到强化刺激时，该反应会随时间逐渐消退。在亲密关系情境中，用户对前任的正向情感联结（记忆、依赖、习惯性期待）是一种习得的行为/情感反应模式。每次对方联系并表达悔意时，这个循环就强化了一次该联结。解决方案通过严格切断策略，完全移除这个强化输入（对方的联系与道歉），使原有的情感反应系统因缺乏维持而进入extinction过程。这需要时间常数（通常3-6个月）来完成系统性消退，而非即时生效。
8,30611,4,step3_response.$parsed.models[1].explanation,step3_explanation,feedback control,feedback loop disruption,openai/text-embedding-3-small,4.018531322479248,13.133086204528809,Feedback Loop Disruption 是系统控制论中的核心干预策略——通过切断系统中的关键反馈连接，打破原有的循环维持机制。用户与前任的系统构成一个典型的情感反馈回路：对方的道歉行为（输入）→用户的情绪反应→用户的原谅/回应（输出）→对方的行为再次强化。这个循环不断产生新的强化脉冲，维持系统稳定。解决方案通过6个月的绝对不响应，从系统论角度完全切断这个反馈连接，使系统的行为方程不再包含该项，从而迫使系统进入新的吸引子状态——即没有对方参与的独立状态。这是一个数学意义上的结构相变。
9,30611,4,step3_response.$parsed.models[2].explanation,step3_explanation,emotional reappraisal,emotional reappraisal,openai/text-embedding-3-small,1.2609728574752808,3.6125519275665283,Emotional Reappraisal 是认知神经科学中的关键机制——通过对情境的重新解释来改变情绪反应。用户当前无法进行有效的reappraisal，因为每次试图回忆时，外部刺激（对方的实时联系、道歉、情感需求）会立即激活情绪反应通路，阻止了前额叶皮层的冷静评估过程。解决方案通过创造一个无干扰的认知空间（切断外部输入），使大脑可以在前额叶皮层层级对这段关系进行完整的重新评估——包括那些被选择性忽略的背叛模式。这种认知重构不是通过'想通'实现的，而是通过移除干扰因素使大脑得以进行自主的神经可塑性改变，其数学表达可视为认知偏差的系统性校正。
10,49115,5,step3_response.$parsed.models[0].explanation,step3_explanation,operant conditioning,negative reinforcement loop,openai/text-embedding-3-small,3.1792705059051514,3.6299984455108643,"The original system is trapped in negative reinforcement: rumination temporarily reduces emotional pain (negative reinforcement), but simultaneously prevents adaptive action, creating more rumination. The intervention breaks this loop by substituting external behavioral rewards (exercise completion, social contact, productive output) for the rumination coping mechanism, thereby changing the reward function from 'avoiding pain' to 'seeking growth'."
