id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,5021,1,step3_response.$parsed.models[0].explanation,step3_explanation,minimum viable payment constraint satisfaction,minimum viable payment constraint satisfaction,openai/text-embedding-3-small,-7.645016193389893,5.70317268371582,"该模型描述了在存在刚性约束（最低还款额、滞纳金触发、信用记录受损）和动态利息计算的债务系统中，选择满足所有约束条件的最小支付额作为干预策略。其数学结构为：在时间t，给定债务本金P_t、利率r、最低还款额M_t，选择支付额X_t，使得 X_t = max(I_t + ε, M_t)，其中I_t为当期应计利息，ε为微小正数以确保本金微降。该支付策略确保系统状态变量（债务总额、信用状态）保持在可行域内，同时最小化当期现金流出。"
2,47853,2,step3_response.$parsed.models[0].explanation,step3_explanation,real options,real options analysis,openai/text-embedding-3-small,2.989339828491211,-0.6161260604858398,该模型将谈判视为创造了一个'实物期权'：通过将薪资谈判与信息获取绑定，求职者支付了极小的协商成本（谈判中的额外请求），获得了在谈判期内以公司资源为支撑获取关键信息（I）的权利。这降低了求职者单独探索信息的成本，使其能够基于更完备的信息决定是否'执行'接受offer的期权，从而优化了在不确定性下的决策价值。
3,47853,2,step3_response.$parsed.models[1].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,15.17636489868164,4.864044666290283,在初始状态，求职者若只谈判薪资后拒绝，会传递'不诚信'或'决策轻率'的负面信号。通过将信息请求ΔI与薪资请求ΔS绑定，求职者向公司发送了一个强信号：'我的决策是审慎的，需要综合信息。'这改变了公司的信念更新过程，将求职者定位为严谨的决策者而非机会主义者。公司配合提供ΔI的行为，也向求职者发送了'公司开放透明'的正面信号。这种双向信号传递减少了信息不对称，促成了更有效的分离均衡。
4,8726,3,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game with costly commitment,openai/text-embedding-3-small,14.932024955749512,5.619783878326416,候选人通过提供可验证的市场数据（信号成本）和明确接受承诺（沉没成本承诺），向招聘方传递了理性且合作的双重信号。招聘方在收到信号后，基于贝叶斯更新调整对候选人价值的先验估计，并在零违约风险的约束下重新优化其薪资决策函数。若调整的边际收益（如候选人满意度、未来绩效）大于边际成本（薪资增加），系统会收敛到新的纳什均衡。
5,8726,3,step3_response.$parsed.models[1].explanation,step3_explanation,commitment device,precommitment strategy in sequential games,openai/text-embedding-3-small,9.931897163391113,0.7334005832672119,候选人通过提前承诺'无论结果如何都接受'，将自己锁定在合作策略中，消除了招聘方担心的谈判破裂风险。这改变了博弈的扩展式结构：招聘方现在面对的是一个简化决策——在零风险条件下，只需比较维持原薪资与小幅提升的净收益。该承诺将原本可能存在的威胁点（候选人拒绝）从博弈树中移除，使系统收敛到帕累托改进的可能性增加。
6,6528,4,step3_response.$parsed.models[0].explanation,step3_explanation,dynamic programming,dynamic programming,openai/text-embedding-3-small,3.5514907836914062,4.6319427490234375,该决策将职业路径建模为一个多阶段序列决策问题，通过贝尔曼方程，在初始阶段选择配件销售岗位（状态转移至低压力、可预测的工作系统），以最大化整个职业生涯的长期期望总效用，而非仅追求下一阶段（服务顾问岗位）的最高即时报酬。这避免了因短期高收益诱惑而陷入可能损害长期职业发展（如职业倦怠、信誉损失）的次优路径。
7,90888,5,step3_response.$parsed.models[0].explanation,step3_explanation,representation learning,representation learning,openai/text-embedding-3-small,8.14089584350586,10.329748153686523,通过将原始特征（会计学位、税务经验）重新映射到新的特征表示（税务视角、技能迁移性），改变了招聘方分类器对求职者的决策函数。这使求职者在特征空间中从'经验不足'区域移动到'潜力候选人'区域，从而改变分类结果。
8,90888,5,step3_response.$parsed.models[1].explanation,step3_explanation,multi attribute utility theory,multi criteria decision making,openai/text-embedding-3-small,7.879688262939453,9.6094331741333,将单维决策（经验时长）扩展为多维决策（经验时长、技能迁移性、学习曲线、合规意识），通过重新分配各维度的权重，使求职者在综合效用函数中获得更高评分，从而改变排序结果。
9,13567,6,step3_response.$parsed.models[0].explanation,step3_explanation,reference point formation,reference point formation,openai/text-embedding-3-small,9.110764503479004,-2.159271240234375,"通过系统收集外部市场薪酬数据（£25,000-£35,000）并明确提出现具体数值（如£30,000），在谈判中建立了一个强外部参考点。这个参考点改变了双方对‘公平薪酬’的认知基准，迫使公司决策从‘维持历史低薪’转向‘匹配市场水平’，否则将面临认知失调和人才流失风险。"
10,13567,6,step3_response.$parsed.models[1].explanation,step3_explanation,outside option,outside option principle,openai/text-embedding-3-small,9.095531463623047,0.8943707346916199,获取外部工作机会创造了可置信的退出威胁，改变了博弈的纳什均衡。公司的理性选择变为：当匹配市场薪酬的成本低于替换成本（招聘、培训、生产力损失）时，接受加薪；否则拒绝并承担员工离职的损失。这迫使公司基于完全成本而非仅薪酬预算做出决策。
11,15934,7,step3_response.$parsed.models[0].explanation,step3_explanation,prospect theory,prospect theory,openai/text-embedding-3-small,7.329030990600586,1.8312660455703735,该模型描述决策者在面对收益和损失时表现出不对称的风险偏好：损失厌恶使人在无安全网时过度规避风险。通过先接受保底offer，求职者将参照点从‘零offer’提升至‘已有offer’，从而在后续决策中从损失规避域转向收益追求域，敢于为更优选项承担谈判和等待风险。
12,15934,7,step3_response.$parsed.models[1].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,15.819487571716309,5.658632278442383,求职者向B-E公司传递‘已有其他offer且有时限’的信号，改变了不完全信息博弈的均衡。该信号传递了求职者的市场竞争力（类型信号），并创造了可信的紧迫性（时间约束），迫使接收方调整响应策略（加速流程），最终可能分离出真正有意向的雇主。
13,15934,7,step3_response.$parsed.models[2].explanation,step3_explanation,optimal stopping,optimal stopping problem,openai/text-embedding-3-small,3.9639101028442383,6.4902567863464355,将求职建模为在固定时间窗口（10天）内观察随机到达的offer（B-E），且已知一个当前可接受选项（A）的最优停止问题。策略通过接受A获得继续观察的权利（call option），同时通过主动加速流程增加观察次数，从而在截止日前做出基于更充分样本的最优选择。
14,5050,8,step3_response.$parsed.models[0].explanation,step3_explanation,human capital,human capital investment model,openai/text-embedding-3-small,4.417612075805664,2.789440155029297,该模型将教育、职业培训和工作经验视为对个人生产性技能（人力资本）的投资。接受Lockheed Martin职位是进行一项人力资本投资：牺牲当前的工资和舒适度（投资成本），以获取‘软件工程师’身份、正式开发经验和行业背书（人力资本增量）。该投资将提高未来的边际生产率，从而在未来求职（如Google/Facebook）时获得显著更高的工资流折现总值，实现终身收入最大化。决策的关键是预期未来收益的现值是否超过当前成本。
15,5050,8,step3_response.$parsed.models[1].explanation,step3_explanation,optimal stopping,optimal stopping problem with career ladder,openai/text-embedding-3-small,4.587233543395996,4.275092124938965,该模型将职业发展视为一个序列决策过程，个体在每一阶段（当前工作）观察状态（技能、头衔、薪资），并决定是接受当前机会（如Google面试）还是继续积累资本以等待更好的机会。学校区职位是一个‘吸收态’或低增长态，从中直接跃迁至目标态（Google）的概率极低。接受Lockheed Martin职位是执行一个‘继续投资’的决策，它将个体转移至一个更高层级的‘职业阶梯’状态。在这个新状态下，技能积累速度加快，并且向目标态（Google）的转移概率因简历信号增强和技能匹配度提高而显著提升，从而在有限时间内达到目标状态的最优概率最大化。
16,11260,9,step3_response.$parsed.models[0].explanation,step3_explanation,budget constraint,multiple budget constraints,openai/text-embedding-3-small,-2.472862958908081,6.027011871337891,"该模型将总预算I分解为k个互斥的子预算{B1, B2, ..., Bk}，满足ΣBi = I。消费决策被限制在各自子预算Bi内进行，即对于类别i的消费Ci，有Ci ≤ Bi。这通过架构强制实现了预设的分配比例（Bi = αi * I），消除了跨类别挪用资金的可行性，从而将总储蓄率S = I - ΣCi稳定在预设水平S = I - Σ(αi * I) = I(1 - Σαi)。"
17,11260,9,step3_response.$parsed.models[1].explanation,step3_explanation,nudge,nudge theory,openai/text-embedding-3-small,-0.5097552537918091,5.7017502784729,该理论通过改变选择架构来预测性地引导行为，而不强制或显著改变经济激励。在此案例中，干预通过预设的自动化资金分配（默认规则）和建立独立的心理账户（选择呈现），构建了一个使遵守预算成为最省力路径的架构。挪用资金需要额外的、有意识的努力来克服这个默认设置，从而显著增加了该行为的摩擦成本，使系统性地遵守预算成为更可能的结果。
18,29878,10,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,13.910066604614258,5.565536975860596,员工作为发送者（Sender）拥有私人信息（通勤方案的真实成本与价值），公司作为接收者（Receiver）拥有不完全信息。员工通过发送可验证的成本分析信号，将自身类型（需要高可靠性通勤的员工）与低需求类型分离。公司观察到信号后更新信念，在精炼贝叶斯均衡中，公司会为高成本信号提供高补贴，因为该信号传递了通勤方案的高价值（可靠性、工作效率），符合成本效益原则。
19,29878,10,step3_response.$parsed.models[1].explanation,step3_explanation,prospect theory,reference dependent preferences,openai/text-embedding-3-small,8.363062858581543,-2.5989229679107666,在卡尼曼和特维斯基的展望理论中，效用取决于相对于参考点的得失。初始参考点是历史成本$280，任何高于此的成本都被感知为损失。干预通过呈现全方案分析，将参考点重置为新地点的最低可行成本（$380）或论证后的合理成本（$525）。在此新参考点下，公司评估补贴时不再以$280为基准，而是以新参考点为基准，使得批准$525的补贴在心理账户上被视为对必要成本的覆盖而非额外福利。
20,11250,11,step3_response.$parsed.models[0].explanation,step3_explanation,time value of money,time value of money,openai/text-embedding-3-small,-7.028865337371826,0.21789897978305817,该模型通过复利公式 FV = PV * (1 + r)^t 或其离散现金流形式，精确量化了将资金从低利率环境（r ≈ 0.0005）转移到高利率环境（r ≈ 0.04）后，在每月定额提取的约束下，总利息收入的差异。干预通过改变利率参数r，直接改变了未来现金流的现值（PV）和终值（FV）的计算结果。
21,11250,11,step3_response.$parsed.models[1].explanation,step3_explanation,commitment device,commitment device,openai/text-embedding-3-small,-0.9360887408256531,5.704972267150879,该机制作为一种自我施加的约束，通过增加从高收益账户提取资金用于非计划消费的交易成本（需额外转账操作）和认知摩擦，修改了行为者的可行选择集。在数理上，它相当于在目标函数（最大化总效用）中增加了一个对非计划消费行为的惩罚项或约束条件，从而引导行为收敛于预定支出计划。
22,11250,11,step3_response.$parsed.models[2].explanation,step3_explanation,arithmetic series,arithmetic series,openai/text-embedding-3-small,-7.459263801574707,0.9299058318138123,设初始本金P0=7000，每月提取d=800，月利率i。第k个月初的本金余额为 P_k = P0 - d*(k-1)。n个月内的总利息近似为 Σ_{k=1}^{n} (P_k * i)。该等差数列求和公式提供了预期利息收入（100-120美元）的精确计算基础，并与低利率环境下的计算结果（近乎零）形成对比，量化了干预的财务收益。
23,68871,12,step3_response.$parsed.models[0].explanation,step3_explanation,liquidity,liquidity constraint,openai/text-embedding-3-small,-5.868969917297363,4.437119960784912,该模型描述经济主体因无法借贷或借贷成本过高而面临的流动性限制。解决方案通过降低资产价值和债务规模，减少每月刚性现金流出，从而直接放松了月度预算的流动性约束，使主体能够重新分配现金流用于储蓄或消费，提高跨期效用。
24,68871,12,step3_response.$parsed.models[1].explanation,step3_explanation,time value of money,net present value,openai/text-embedding-3-small,-4.951370716094971,2.11264967918396,该模型通过折现未来现金流来评估投资价值。解决方案将高月供的长期负债（新车贷款）与低月供的短期负债（二手车贷款）的未来现金流进行折现比较。尽管新车贷款利率更低，但其更高的本金和更长的期限导致未来现金流出（月供）的现值更大。置换方案降低了未来现金流出（月供）的现值，从而提高了净现值。
25,101377,13,step3_response.$parsed.models[0].explanation,step3_explanation,amortization,debt avalanche method,openai/text-embedding-3-small,-8.25936508178711,5.57261323928833,该模型是一个基于净现值（NPV）最小化的确定性优化算法。它将债务组合视为一系列具有不同利率和余额的现金流负债，并规定在满足最低还款额后，将所有超额现金分配给利率最高的债务。其数学证明在于：偿还利率为r的1美元债务，等同于获得一份无风险、税后、收益率为r的投资。因此，按利率降序偿还债务，是使未来利息支出净现值最小化的全局最优策略。这直接解决了用户‘最大化债务清偿速度’的核心目标。
26,101377,13,step3_response.$parsed.models[1].explanation,step3_explanation,time value of money,net present value,openai/text-embedding-3-small,-6.631647109985352,2.618870258331299,该模型是一个基于时间价值的折现现金流（DCF）分析框架。它将不同时间点的现金流（如租金支出、房贷支出、债务利息节省、未来购房成本等）按一个合适的折现率（通常基于债务利率或机会成本）折算到当前时点，并计算其总和。通过比较路径A和路径B的净现值，可以客观证明：在用户当前高息债务存在的情况下，路径B（先还债）因能更快消除高息成本，其净现值通常显著高于路径A。这为数理上证明‘先还债后买房’的优越性提供了严格基础。
27,11657,14,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling theory,openai/text-embedding-3-small,13.920852661132812,9.803977966308594,该模型通过将求职者视为拥有私有信息（真实技能）的信号发送者，将招聘方视为接收者。解决方案通过构建高成本（难以伪造）的‘情境-行动-量化结果’三元组信号，将模糊的通用声明（廉价磋商）转化为可验证的证据，从而将‘柠檬市场’中的低质量求职者（发送低质量信号）区分开来。这改变了招聘方的贝叶斯更新过程，使其能以更高后验概率推断求职者具备所需能力，从而优化了信号传递的分离均衡。
28,11657,14,step3_response.$parsed.models[1].explanation,step3_explanation,information theory,information theory,openai/text-embedding-3-small,13.307047843933105,9.59410572052002,该模型将简历视为通过有噪声信道（招聘人员筛选、经理的有限注意力与认知偏见）传输的信息。解决方案通过‘解析职位描述’和‘使用精确术语’来最大化信源（求职者能力）与信宿（职位需求）之间的互信息。‘显式建立映射关系’和‘证据链’结构减少了编码冗余和语义噪声，从而在给定信道容量（筛选时间有限）下，提高了信息传输的保真度（准确匹配）和速率（快速识别）。
29,67680,15,step3_response.$parsed.models[0].explanation,step3_explanation,anchoring,anchoring and adjustment heuristic,openai/text-embedding-3-small,9.114341735839844,-3.036741018295288,该认知偏差模型指出，人们在做数值估计时，会过度依赖最初接收到的信息（锚点），并在此基础上进行不充分的调整。干预通过提供并强调一个更强、更客观的外部锚点（$60-70k的岗位价值），覆盖了雇主试图设置的弱锚点（$45k的当前薪资），迫使对方的调整过程基于新的锚点重新开始，从而系统性地提升最终报价的数值范围。
30,67680,15,step3_response.$parsed.models[1].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,13.985095024108887,7.791134834289551,在该博弈论模型中，拥有私人信息的参与方（申请人）通过发送可观察、有时需要成本的信号（如提供市场数据、引用原始广告、专业书面回复）来向信息劣势方（雇主）传递关于自身类型（高价值、了解市场、有原则）的信息。成功的信号可以分离均衡，即高价值申请人通过这一系列行动将自己与那些可能接受低价的申请人区分开来，从而迫使雇主重新评估并提高报价以避免失去优质候选人。
31,1822,16,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,15.926610946655273,8.190899848937988,求职者（发送者）通过创建GitHub项目（高成本信号）向招聘方（接收者）传递其真实技术能力的私有信息。该信号的成本（时间、精力投入）与能力负相关，使低能力者难以模仿。招聘方观察到该信号后，更新对求职者能力的后验信念，从而在分离均衡中区分出高能力者并给予面试机会。
32,1822,16,step3_response.$parsed.models[1].explanation,step3_explanation,salience theory,salience theory,openai/text-embedding-3-small,8.66625690460205,9.48381519317627,通过将‘技能’与‘项目经验’部分前置、详细化并添加GitHub链接，显著提高了这些技术能力证据的显著性（salience）。这引导招聘方的有限注意力优先处理这些高信息量的特征，而非原先占据显著位置但低信息量的通用经历，从而优化了在有限时间和认知资源下的判断准确性。
33,52770,17,step3_response.$parsed.models[0].explanation,step3_explanation,third party enforcement,third party enforcement game,openai/text-embedding-3-small,11.493681907653809,0.44810163974761963,该模型通过引入具有惩罚能力的第三方监管者（劳动监察部门），改变了原始双边博弈的支付结构。雇主‘拖延’策略的收益函数中增加了行政处罚和信用成本项，使其从占优策略变为劣势策略；而‘支付’策略的相对收益提高。博弈的纳什均衡从（拖延，等待）转移到（支付，不投诉），实现了合作解。
34,52770,17,step3_response.$parsed.models[1].explanation,step3_explanation,heuristics,availability heuristic,openai/text-embedding-3-small,10.514403343200684,4.134742736816406,该认知偏误模型描述决策者依赖容易想起的例证来评估事件概率。在干预前，雇主认为‘员工放弃追讨’是易得案例，故低估违约风险。正式投诉和监察介入创造了‘行政处罚’和‘法律纠纷’的易得性案例，直接提高了雇主对违约成本的主观概率估计，促使其重新优化决策函数。
