id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,5672,1,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,dynamical systems theory with bifurcation control,openai/text-embedding-3-small,16.562397003173828,3.793480634689331,该模型将个体的心理状态建模为一个非线性动力系统，其中急性抑郁发作被视为系统正被一个‘灾难性吸引子’（如自杀行为）所吸引。干预（外部强制介入）相当于在系统接近临界分岔点前施加一个强控制信号，暂时改变系统的相空间结构，打断通向灾难吸引子的轨迹，从而将系统状态推入一个受控的‘治疗吸引域’内，为后续的药物（改变系统参数）和心理治疗（重塑吸引子景观）创造条件。
2,5672,1,step3_response.$parsed.models[1].explanation,step3_explanation,decision theory,bounded rationality with heuristic override,openai/text-embedding-3-small,2.3854873180389404,3.012481927871704,该模型将个体的决策过程视为在认知资源严重受限（抑郁状态）下的次优问题求解。当前状态是使用了一个极端简化的启发式（只评估即时需求满足度）进行价值判断和行动选择。干预通过引入外部专业系统，强制覆盖了该启发式的执行，并提供了更复杂的评估框架（如长期陪伴价值），相当于在个体的决策函数中临时注入了额外的计算资源和更全面的目标函数，从而引导决策脱离局部最优（自伤）转向全局更优路径（治疗与恢复）。
3,38079,2,step3_response.$parsed.models[0].explanation,step3_explanation,cognitive behavioral model,habit formation loop,openai/text-embedding-3-small,5.001741409301758,-1.6632122993469238,该模型将习惯形成描述为 cue-routine-reward 的强化循环。干预通过视觉提示（cue）触发每日2分钟维护（routine），并利用清洁环境的感官反馈（reward）建立自动化的行为模式，从而绕过抑郁状态下的动机系统障碍。
4,38079,2,step3_response.$parsed.models[1].explanation,step3_explanation,dual process theory,dual process theory,openai/text-embedding-3-small,6.6881937980651855,8.216598510742188,该模型将决策分为自动系统（冲动、情绪驱动）和反思系统（理性、计划驱动）。干预通过明确的规则（禁止其他项目）激活反思系统对自动系统的抑制功能，防止动机资源因冲动性过度投入而提前耗尽，维持行为的稳定性。
5,38079,2,step3_response.$parsed.models[2].explanation,step3_explanation,dynamical systems,attractor dynamics,openai/text-embedding-3-small,15.193852424621582,7.137092113494873,该模型将心理行为状态描述为动力系统中的吸引子。干预通过降低新行为（微维护）的能垒（仅需2分钟），并增加旧状态（完全不做）的能垒（通过环境视觉提示制造认知失调），使系统从‘无行动吸引子’向‘微习惯吸引子’迁移。
6,9102,3,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,attractor model,openai/text-embedding-3-small,18.161266326904297,1.9210562705993652,该模型将心理状态视为一个高维动力系统，其中重度抑郁是一个稳定的低能量吸引子。SSRI药物通过调节神经递质浓度（改变系统的参数），认知行为疗法通过修正认知偏差（改变状态空间的拓扑结构），共同降低抑郁吸引子的稳定性（吸引域），使系统能够在外界扰动或内在波动下，迁移到代表健康状态的另一个吸引子。
7,9102,3,step3_response.$parsed.models[1].explanation,step3_explanation,cognitive behavioral model,cognitive bias modification,openai/text-embedding-3-small,5.697896957397461,10.401905059814453,该模型将认知偏差视为一种可量化的、稳定的信息处理模式。通过重复的、结构化的认知训练（如识别并挑战自动负性思维），该干预旨在调整个体在注意、解释和记忆等信息处理阶段的计算权重参数，从而减少对负性信息的优先加工和对正性信息的抑制，最终使认知评估的输出更符合客观现实。
8,9102,3,step3_response.$parsed.models[2].explanation,step3_explanation,pharmacokinetic pharmacodynamic modeling,dose response model,openai/text-embedding-3-small,6.542816162109375,4.802216053009033,该模型（通常为S形或双曲线函数）量化了干预剂量（如药物血浆浓度、治疗会话次数/强度）与系统响应（如HAMD分数降低）之间的非线性时程关系。它解释了为何SSRI需要数周才能起效（涉及下游受体适应性调节等慢过程），以及为何治疗响应通常呈现先慢后快的模式，直至达到平台期。模型参数可用于优化治疗剂量和频率。
9,114418,4,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,bifurcation theory,openai/text-embedding-3-small,13.062100410461426,2.5142099857330322,通过急性医疗干预（如药物）和紧急环境约束改变（家庭压力源切换）作为强参数扰动，使系统发生分岔，从‘重度抑郁-自杀风险’的吸引子状态，跃迁到‘症状缓解-可干预’的另一个吸引子状态。这改变了系统相空间的拓扑结构，创造了新的稳定平衡点。
10,114418,4,step3_response.$parsed.models[1].explanation,step3_explanation,optimization theory,constraint optimization,openai/text-embedding-3-small,3.088447332382202,4.463535308837891,将原问题‘最大化长期成功与家庭满意度’在‘重度抑郁’约束下无解，重构为‘在急性期最大化生存概率’在‘获得紧急医疗’和‘暂停学业压力’新约束下的优化问题。通过放松或改变关键约束（学业决策延迟），使可行解空间从空集变为非空集，找到当前可执行的解（就医、沟通）。
11,67873,5,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,dynamical systems theory,openai/text-embedding-3-small,18.1657657623291,3.396158218383789,该模型将个体的心理状态（如情绪、认知、行为倾向）视为一个由多个变量（如神经递质水平、认知图式强度、行为激活阈值）相互作用构成的动态系统。重度抑郁被建模为该系统的一个稳定的‘吸引子’（attractor）状态，其特征是低能量、负向认知和回避行为的自强化循环。干预（CBT/药物）被建模为对系统参数（如认知重构能力、神经递质浓度）的持续扰动，旨在降低原有抑郁吸引子的‘吸引力’（basin of attraction），并培育一个新的、功能更佳的吸引子（如适应性认知-行为模式）。定期监测提供了反馈，用于调整干预强度，引导系统轨迹向目标吸引子迁移。
