id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,103921,1,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-4.860604286193848,-3.36883807182312,该模型定义了系统输出反向放大输入的闭环因果结构，干预通过停止自我质疑切断循环的放大链路，终止抑郁症状的逐步升高
2,103921,1,step3_response.$parsed.models[1].explanation,step3_explanation,multiple equilibria,dynamic equilibrium,openai/text-embedding-3-small,-3.795470714569092,0.07986653596162796,该模型描述了开放系统通过内部调节抵消外部和内部扰动、维持整体稳态的结构，重构后的情绪调节机制符合该模型，可实现长期情绪稳定
3,39912,2,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-4.224679470062256,-5.064766883850098,该模型描述了系统偏差自我放大的动力学机制，干预通过切断「快感缺失→自我指责→内耗加重」的循环链路，终止症状的持续放大，为系统回归稳态创造条件
4,39912,2,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian updating,bayesian updating,openai/text-embedding-3-small,8.637972831726074,8.794571876525879,该模型形式化了基于实时反馈调整治疗方案的过程，能够逐步收敛到适配个体的有效治疗方案，加快受损奖赏通路的修复
5,38079,3,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback,openai/text-embedding-3-small,-2.082989454269409,7.630843162536621,该机制定义变量的初始变化会被后续过程不断放大，此处通过完成小任务获得正向体验，正向体验进一步提升动机能量，推动整体状态持续向好，扭转原有负向放大的循环
6,38079,3,step3_response.$parsed.models[1].explanation,step3_explanation,constrained optimization,constrained optimization,openai/text-embedding-3-small,5.475406169891357,7.460691928863525,该模型在给定的资源约束下寻找可行的最优解，此处将大尺度全清洁目标拆解为匹配低能量约束的最小任务单元，保证每次任务都能完成，避免因目标超出约束导致的自我否定
7,4875,4,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,12.521997451782227,1.9376952648162842,"This model clarifies the self-reinforcing mechanism of the binge-purge cycle, and intervention breaks the reinforcement chain to curb the exponential growth of abnormal behavior frequency."
8,4875,4,step3_response.$parsed.models[1].explanation,step3_explanation,homeostasis,homeostasis,openai/text-embedding-3-small,9.251788139343262,1.6748847961425781,"This model guides maintaining blood sugar, hunger level and weight within a normal stable range, eliminating the steady-state deviation that triggers subsequent new binges."
9,530,5,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-3.889936923980713,7.979591369628906,原有系统中负向核心信念和内在无价值感互相放大形成稳定的负向稳态，干预通过终止原有错误驱动行为打破该回路，消除负向状态的自我放大机制
10,530,5,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian updating,bayesian updating,openai/text-embedding-3-small,13.648097038269043,13.115331649780273,通过专业干预和新的正向体验，持续更新原有错误先验的后验概率，逐步修正核心信念，重构符合当前真实处境的认知系统
11,90514,6,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-1.7249510288238525,-6.342580795288086,该模型将原有「成绩下滑→自我否定→行动力下降」的负向放大循环，替换为「小成就积累→正向认同→行动力提升」的正向放大循环，持续推动系统向恢复方向移动
12,90514,6,step3_response.$parsed.models[1].explanation,step3_explanation,gradient descent,gradient ascent,openai/text-embedding-3-small,2.823462724685669,4.994703769683838,每一步小行动都对应状态提升的微小梯度，沿着梯度方向逐步累积调整，避免了追求完美带来的大幅波动，最终收敛到预期的稳定恢复状态
13,9102,7,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,negative feedback,openai/text-embedding-3-small,-4.049861431121826,0.6965782642364502,该模型将系统输出的偏差反向作用于系统输入，持续抑制偏离稳态的趋势，通过药物修正神经递质、心理调整认知的干预，把情绪拉回正常波动区间
14,9102,7,step3_response.$parsed.models[1].explanation,step3_explanation,attractor,fixed point attractor,openai/text-embedding-3-small,-2.262495279312134,0.22644247114658356,该模型描述动力系统中所有邻域状态最终会收敛到某个稳定固定点的性质，干预调整系统参数后，破坏异常低情绪固定点的稳定性，重建正常情绪固定点的吸引域，让情绪自发收敛到健康状态
15,43539,8,step3_response.$parsed.models[0].explanation,step3_explanation,constrained optimization,constrained optimization,openai/text-embedding-3-small,7.3668341636657715,8.854928970336914,该模型将原问题错误的前置约束「必须实现创伤康复才可生存」调整为「在完成陪伴责任的约束下最小化每日痛苦」，缩小可行域，消除了原约束下不可行解带来的持续自我挫败
16,43539,8,step3_response.$parsed.models[1].explanation,step3_explanation,attractor,stable attractor,openai/text-embedding-3-small,-3.5059688091278076,-0.9389600157737732,该模型通过固定低强度的日常行为构建新的吸引域，将原本在痛苦放大循环中波动的状态持续拉回低痛苦水平的稳态，降低整体状态波动幅度
17,5570,9,step3_response.$parsed.models[0].explanation,step3_explanation,gradient descent,gradient descent,openai/text-embedding-3-small,3.919395923614502,4.23227596282959,该模型将内耗和抑郁症状定义为损失函数，通过每次小步迭代沿着损失函数的负梯度方向调整状态，逐步收敛到低内耗的稳态，完美匹配小步行动不强制设定宏大目标的干预策略
18,5570,9,step3_response.$parsed.models[1].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-3.1027934551239014,-4.744543552398682,该模型通过放大微小正向行动的结果，逐步替代原有放大空虚痛苦的旧循环，推动系统自发向情绪改善的方向演化，对应干预中打破负循环建立正向反馈的结构性改变目标
19,9956,10,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,reinforcing feedback loop,openai/text-embedding-3-small,-1.5567479133605957,-5.77683687210083,该模型描述动力学系统中因果环的自我强化机制，初始变化会被循环不断放大，干预将原有的负向自我强化路径切换为正向自我强化路径，从核心改变系统演化方向
20,9956,10,step3_response.$parsed.models[1].explanation,step3_explanation,attractor,stable attractor,openai/text-embedding-3-small,-1.0521889925003052,-0.49555274844169617,该模型指动力学系统中会自发收敛保持的状态集合，干预引入外部专业约束，将系统从病理状态的稳定吸引子中拉出，驱动系统收敛到健康状态的稳定吸引子，实现长期状态稳定
21,30669,11,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,negative feedback loop,openai/text-embedding-3-small,-1.8262981176376343,-3.5048608779907227,该控制论数理模型描述系统输出反向强化输入从而维持稳定稳态的机制，通过终止原有无效治疗的自强化过程，打破锁定的病态状态，为系统改变创造空间
22,30669,11,step3_response.$parsed.models[1].explanation,step3_explanation,local search,local optimum,openai/text-embedding-3-small,7.836679458618164,7.806483268737793,该优化理论数理模型描述优化搜索过程被困在局部次优解无法找到全局更优解的情况，通过拓展搜索范围到新型难治性抑郁治疗的新解空间，显著提升找到有效缓解解的概率
23,114418,12,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,-4.627429962158203,6.314645290374756,正反馈是系统输出会放大初始偏差的动力学模型，本干预通过移除原有恶化循环的关键压力节点，打断偏差放大过程，终止抑郁症状的持续自我恶化
