id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,20819,1,step3_response.$parsed.models[0].explanation,step3_explanation,signaling,signal detection theory,openai/text-embedding-3-small,-8.257184028625488,3.561828851699829,申请材料被雇主识别为‘有效候选人’与‘无效噪声’的过程可建模为信号检测：定制化简历和求职信提高信号强度，重复多渠道投递增加噪声与误报风险，单一正式邮箱投递则提升信噪比，从而提高进入人工筛选的命中率。
2,20819,1,step3_response.$parsed.models[1].explanation,step3_explanation,utility theory,utility maximization,openai/text-embedding-3-small,-4.1290154457092285,-1.013580560684204,在渠道、时间和注意力有限的约束下，选择一个最具期望收益的投递方式，并用岗位定制材料提高单位投递的期望回报；该模型解释了为何应优先选择官网邮箱而非同时多渠道重复提交。
3,11250,2,step3_response.$parsed.models[0].explanation,step3_explanation,inventory theory,optimal cash balance model,openai/text-embedding-3-small,11.700464248657227,1.3228342533111572,该模型将资金在持有期间的机会成本、交易成本和流动性需求放在同一框架下权衡；把资金放入高收益储蓄账户并按月转回支票账户，本质上是在降低闲置现金的机会成本，同时保持支付所需的流动性，从而使现金余额的时间路径更接近最优持有水平。
4,11250,2,step3_response.$parsed.models[1].explanation,step3_explanation,intertemporal choice,hyperbolic discounting,openai/text-embedding-3-small,12.255508422851562,0.39175698161125183,该模型描述个体对近端即时诱惑赋予过高权重，从而导致非计划消费；将资金隔离到独立账户后，提高了动用这笔钱的心理和操作摩擦，相当于削弱即时偏好对决策的影响，使行为更接近按计划支出的结果。
5,11250,2,step3_response.$parsed.models[2].explanation,step3_explanation,dynamic programming,dynamic programming,openai/text-embedding-3-small,9.558685302734375,1.055986762046814,该模型把未来各月的支出视为阶段性状态转移，在每个时点选择转入支票账户的金额以满足当期约束并最大化剩余资金收益；按月转账的策略等价于在有限期内求解满足支付约束下的最优现金路径。
6,47853,3,step3_response.$parsed.models[0].explanation,step3_explanation,dynamic programming,sequential decision theory,openai/text-embedding-3-small,0.4282320439815521,7.130885601043701,它把当前反要约视为一个可延迟承诺的决策节点：先支付较低的谈判成本以换取更多信息，再在信息更新后做最终接受或拒绝，从而最大化期望效用并最小化被低质量信息锁定的风险。
7,47853,3,step3_response.$parsed.models[1].explanation,step3_explanation,optimal stopping,optimal stopping theory,openai/text-embedding-3-small,0.9327290058135986,7.910307884216309,它解释了为什么先设定一个可接受阈值再等待对方回应是有效的：当外部条件达到阈值就停止搜索并接受，否则继续保留退出选项；这直接改变了谈判中的承诺约束和退出条件。
8,47853,3,step3_response.$parsed.models[2].explanation,step3_explanation,real options,real options theory,openai/text-embedding-3-small,3.3780922889709473,2.221226215362549,它将‘先不完全承诺、保留进一步评估的权利’建模为一种期权：当前提出条件性报价是在低成本下购买未来决策弹性，使你可以在不确定性解除后再行行使接受、拒绝或退出的权利。
9,5021,4,step3_response.$parsed.models[0].explanation,step3_explanation,dynamic programming,dynamic programming,openai/text-embedding-3-small,9.25263786315918,1.2141069173812866,该模型用跨期状态变量表示当前现金、信用卡余额和未来报销到账，决策变量表示此期还款额。目标函数不是单期最小还款，而是在满足最低还款和必要支出约束下最小化总成本，尤其是利息与违约风险的加权和。这里的策略相当于选择一个在当前期保留现金、在未来已知现金流到达时集中清偿的最优跨期路径。
10,5021,4,step3_response.$parsed.models[1].explanation,step3_explanation,constrained optimization,constrained optimization,openai/text-embedding-3-small,9.128410339355469,1.537904143333435,该模型把还款决策写成在预算约束、最低还款约束和时间约束下的优化问题。策略的实质是把“现在多还一点”与“保留现金等待报销后再还”进行比较，选择满足约束且使总代价最小的解。其关键机制是通过约束而不是主观偏好来决定还款分配。
