id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,8912,1,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayesian decision theory,openai/text-embedding-3-small,6.678319454193115,3.8684375286102295,该模型用效用最大化和后验风险最小化来刻画策略选择：在给定证据与不确定审查结果下，移除可识别版权片段会降低被判定为侵权的后验概率，从而降低预期损失。
2,8912,1,step3_response.$parsed.models[1].explanation,step3_explanation,signal detection theory,signal detection theory,openai/text-embedding-3-small,11.179390907287598,-3.209120988845825,通过压缩可识别版权表达、保留必要评论语境，干预降低了‘侵权’这一信号的可检测强度，并使内容更接近评论分析类别，从而提高被归为非侵权的命中率并降低误判风险。
3,8912,1,step3_response.$parsed.models[2].explanation,step3_explanation,expected utility theory,expected utility theory,openai/text-embedding-3-small,11.996058464050293,-2.506068468093872,删除或替换可识别教材内容会牺牲部分展示信息，但可显著降低下架、索赔和争议成本；在收益与风险的加权比较中，这种方案提高了净期望效用。
4,10933,2,step3_response.$parsed.models[0].explanation,step3_explanation,optimal stopping,optimal stopping,openai/text-embedding-3-small,-2.0876071453094482,1.2005327939987183,承租人面临一个带截止时间的决策问题：在租约到期点之前选择继续协商、寻找替代住房或完成搬迁。该模型把“何时停止等待并采取退出行动”形式化为在时间轴上比较继续等待的期望收益与继续等待引入的违约风险成本，从而解释为什么应在到期前锁定延租或备选方案，而不是被动进入超期占用状态。
5,10933,2,step3_response.$parsed.models[1].explanation,step3_explanation,bargaining theory,nash bargaining solution,openai/text-embedding-3-small,-2.4444339275360107,1.3956905603408813,延租协商可以被建模为在双方分歧点之上的收益分配问题：房东的分歧点是立即要求搬离并启动驱逐程序，承租人的分歧点是承担搬迁和潜在违约后果。书面延租、期限明确、补偿可量化，会改变双方的分歧点与议价集合，使可达解从高冲突区域移动到双方都更优的可行区。
6,10933,2,step3_response.$parsed.models[2].explanation,step3_explanation,markov process,markov decision process,openai/text-embedding-3-small,12.469145774841309,3.720008611679077,将当前情境视为状态，行动包括请求延租、准备备选住所、搬迁或等待房东回应；房东的回复构成状态转移信号。该模型解释了为什么要并行准备备用方案：通过在不同状态下预先定义行动和代价，减少在信息不完全条件下的损失，并在房东拒绝时迅速转入低风险状态。
7,17153,3,step3_response.$parsed.models[0].explanation,step3_explanation,repeated game,repeated game,openai/text-embedding-3-small,6.246057987213135,0.8743224740028381,在重复互动中，成员的当前行为会影响未来回报。规则发布、删除、警告和封禁相当于提高越界行为的未来成本并降低其预期收益，促使参与者选择不骚扰但仍可批评的策略组合，系统因此更容易收敛到较低冲突的稳定状态。
8,17153,3,step3_response.$parsed.models[1].explanation,step3_explanation,threshold model,threshold model,openai/text-embedding-3-small,13.328787803649902,-0.05936912074685097,当群体行为存在临界阈值时，越界行为一旦达到某个强度就会触发平台干预。通过把骚扰定义为明确可识别的阈值事件，并对其施加强制处置，可以阻断从争议到围攻的累积过程，减少级联升级。
9,13020,4,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayesian inference,openai/text-embedding-3-small,8.457433700561523,-7.6213250160217285,将当前案件视为关于“是否存在知情 占有 控制或共同运输”的未知状态，警方报告 车内位置 口供 视频等作为证据逐步更新后验概率；干预的数学作用是增加有利于无知情无控制的证据权重并暴露不利证据不足，从而把后验从高于阈值的定罪区间压回低于阈值的无罪或撤案区间。
10,13020,4,step3_response.$parsed.models[1].explanation,step3_explanation,hypothesis testing,sequential probability ratio test,openai/text-embedding-3-small,8.105064392089844,-6.268680095672607,把执法记录与辩方证据看成逐步输入的似然比序列，当累积证据不足以越过定罪阈值时，系统应继续保持未定或转向有利结果；调取视频与报告的作用是改变累积似然比的方向和速度，使案件更难越过支持定罪的临界点。
