id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,30611,1,step3_response.$parsed.models[0].explanation,step3_explanation,reinforcement learning,operant conditioning,openai/text-embedding-3-small,0.07710268348455429,3.6696553230285645,断联相当于移除继续互动所带来的即时反馈与情绪奖励，从而削弱维持依附与反复接触的强化回路；当强化被持续撤除，原有互动模式的发生概率会下降，系统状态会向低频接触与低依赖方向迁移。
2,30611,1,step3_response.$parsed.models[1].explanation,step3_explanation,control theory,delayed feedback control,openai/text-embedding-3-small,-1.0101553201675415,6.39854097366333,通过引入断联和观察期，把对方行为对你决策的影响从即时反馈改为延迟反馈，减少冲动性再接触和错误修复尝试；这样可以降低系统的振荡幅度，提升状态估计的稳定性，并允许在更长时间尺度上再评估是否存在可恢复的条件。
3,30611,1,step3_response.$parsed.models[2].explanation,step3_explanation,optimal stopping,optimal stopping,openai/text-embedding-3-small,11.24168586730957,10.099411010742188,在当前信任水平和历史违约频率下，继续投入的边际收益低于继续暴露于伤害的边际损失，因此通过立即停止当前互动，可避免在劣势状态下的持续损耗；停止后保留重新评估窗口，等到外部证据充分改善时再决定是否重新进入关系。
4,18240,2,step3_response.$parsed.models[0].explanation,step3_explanation,bayesian inference,bayes theorem,openai/text-embedding-3-small,11.73601245880127,4.320502281188965,当前对关系是否仍存在越界联系的判断是不完全信息下的先验信念。直接核实对话和后续行为观察，相当于获取新证据并更新后验概率；停止私下翻查则减少噪声证据和偏差证据对后验的污染，使判断更接近基于可验证信息的概率推断。
5,18240,2,step3_response.$parsed.models[1].explanation,step3_explanation,repeated games,repeated game,openai/text-embedding-3-small,7.019989967346191,13.960017204284668,关系中的透明度、边界和承诺不是一次性决定，而是多轮互动中的策略选择。公开核实和明确边界会提高背叛的即时可见性，改变双方的收益结构与未来回应预期，从而影响后续是否继续隐瞒或合作。
6,18240,2,step3_response.$parsed.models[2].explanation,step3_explanation,dynamical systems,stability theory,openai/text-embedding-3-small,-2.4804599285125732,3.1308810710906982,当沟通从隐蔽监控转向公开核实时，系统的反馈回路从放大怀疑的正反馈，转为依赖一致性和透明度的负反馈。若对方持续一致，系统可能收敛到更稳定的信任状态；若回避或失配，系统会暴露为不稳定并触发关系重估。
7,28354,3,step3_response.$parsed.models[0].explanation,step3_explanation,markov processes,markov decision process,openai/text-embedding-3-small,-5.333345890045166,8.483122825622559,当前状态被视为一个带有状态转移和代价函数的动态系统。持续追问会提高对方回避概率和关系损耗，等价于执行高成本动作并把系统推向更差状态；暂停联系和只做一次低压请求，相当于选择在期望回报低于继续探索收益时停止动作，从而把系统从恶化轨道切换到可恢复轨道。
8,28354,3,step3_response.$parsed.models[1].explanation,step3_explanation,control theory,feedback loop,openai/text-embedding-3-small,-1.917636752128601,5.095786094665527,追问会增加压力，压力会提高回避，回避会诱发更强追问，这构成自我强化的循环。暂停追问引入外部阻尼，削弱循环增益，使系统从发散或振荡行为转向较稳定的边界状态，因此更可能得到明确回应或停止无效拉扯。
9,28354,3,step3_response.$parsed.models[2].explanation,step3_explanation,bayesian inference,bayesian updating,openai/text-embedding-3-small,6.8577799797058105,5.776706218719482,一次简短且非指责性的请求相当于获取一个低噪声观测，用来更新对方是否愿意继续沟通的后验判断。若对方拒绝或无回应，则停止追问，相当于在后验已足够清晰时终止额外采样，避免因继续询问而引入更多噪声和决策偏差。
10,67280,4,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,dynamical system,openai/text-embedding-3-small,-3.693009853363037,7.025208473205566,分手后双方关系可被视为随时间演化的状态空间系统。追问和高频联系相当于向系统持续注入正反馈，维持高冲突和高防御状态；停止施压和进入非接触期，相当于移除驱动项并降低反馈增益，使系统更可能收敛到低唤起、低摩擦的稳定状态，从而提高后续重新评估关系的可行性。
11,67280,4,step3_response.$parsed.models[1].explanation,step3_explanation,threshold models,threshold model,openai/text-embedding-3-small,-0.27821171283721924,12.59911823272705,在该模型中，个体不会对所有刺激线性反应，而是在压力、愧疚和防御累积到阈值后转向回避或关闭沟通。通过减少施压，输入值下降并可能落到阈值以下，从而使对方的回避反应概率降低，关系不再被持续推向断裂状态。
12,67280,4,step3_response.$parsed.models[2].explanation,step3_explanation,reinforcement learning,operant conditioning,openai/text-embedding-3-small,1.1085997819900513,3.9938790798187256,如果每次联系都能获得即时回应或情绪缓解，行为会被负强化或正强化维持。停止联系会打断这个强化循环，降低冲动行为的频率，并减少对方把互动与压力绑定的条件反射，从而改变双方的行为依赖结构。
13,17211,5,step3_response.$parsed.models[0].explanation,step3_explanation,signaling games,signaling game,openai/text-embedding-3-small,11.94653606414795,0.21920759975910187,"A signaling game models situations with asymmetric information where one side must choose whether to send a costly or informative signal and the other side updates beliefs in response. Here, direct but low-pressure disclosure and a date-like invitation function as a signal that can reveal whether the other person's latent preference is aligned, thereby collapsing ambiguity and inducing a belief update."
14,17211,5,step3_response.$parsed.models[1].explanation,step3_explanation,threshold models,threshold model,openai/text-embedding-3-small,11.676162719726562,-0.7627183794975281,"A threshold model captures systems in which a small additional input has no effect until a critical level is reached, after which the state changes sharply. In this case, repeated ambiguous flirting may not suffice to resolve uncertainty, but a sufficiently explicit ask can push the interaction past the decision threshold, forcing a categorical response."
15,17211,5,step3_response.$parsed.models[2].explanation,step3_explanation,strategic games,coordination game,openai/text-embedding-3-small,12.783599853515625,-0.8515797853469849,"A coordination game models settings where each player's best response depends on the other's choice, and payoffs are highest when both select the same compatible state. The proposed action reveals whether both sides coordinate on friendship or romance; if preferences align, behavior converges to the romantic equilibrium, and if not, it converges to the friendship equilibrium."
16,41066,6,step3_response.$parsed.models[0].explanation,step3_explanation,strategic games,stackelberg competition,openai/text-embedding-3-small,8.294928550720215,17.160551071166992,在该结构中，先行动的一方通过改变规则、信息与约束条件，预先设定对手的可行动作集合与收益函数；对应到这里，就是通过书面留痕、房东介入、换锁和法律支持，把互动从低约束的口头博弈改造成对方必须面对更高代价与更低收益的后续响应问题，从而使其最优策略从继续侵犯转向退出或停止接触。
17,41066,6,step3_response.$parsed.models[1].explanation,step3_explanation,markov processes,markov decision process,openai/text-embedding-3-small,-1.8185592889785767,13.022818565368652,该模型强调当前状态决定后续状态转移概率与回报，干预的作用是改变状态转移结构与奖励结构；在这里，保留证据并引入第三方后，‘继续接触且无后果’这一状态的转移概率下降，而‘搬离、限制接触、正式处理’这些状态的转移概率上升，最终使系统更可能进入可执行的约束状态。
