id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,90514,1,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,feedback control system,openai/text-embedding-3-small,9.231337547302246,4.204704284667969,该模型通过引入外部干预（心理治疗、学业支持）作为控制输入，调节个体内部状态（情绪、认知、行为）的反馈回路，以抵消负面循环效应，将系统从失衡状态（抑郁、学业差）导向期望的稳定状态（情绪稳定、学业进步、高自我效能）。
2,90514,1,step3_response.$parsed.models[1].explanation,step3_explanation,self theory,self efficacy theory,openai/text-embedding-3-small,3.457942485809326,12.5285062789917,该理论模型解释了个体对自身完成特定任务能力的信念如何影响其行为、努力程度和韧性。通过心理咨询提供掌握经验和替代经验，结合学业支持提供成功经验，直接提升个体的自我效能信念，从而驱动其采取更积极的行动，并坚持克服困难，最终实现预期结果。
3,90514,1,step3_response.$parsed.models[2].explanation,step3_explanation,dynamical systems,basin of attraction,openai/text-embedding-3-small,18.115991592407227,0.1056293472647667,"该动力学模型描述了系统在特定初始条件下将收敛到的状态空间区域。个体的抑郁状态代表一个负面的吸引盆地。干预措施旨在重塑系统的吸引盆地结构，缩小负面盆地，扩大积极盆地，并提供足够的初始扰动或改变""系统动力学""，使个体从当前的抑郁吸引盆地中逃逸，进入到一个更健康、更具生产力的吸引盆地。"
4,9102,2,step3_response.$parsed.models[0].explanation,step3_explanation,dynamical systems,dynamical systems theory,openai/text-embedding-3-small,17.888578414916992,0.7939026951789856,将抑郁状态视为一个具有特定吸引子的非线性动力系统。药物和心理治疗作为控制参数，旨在改变系统的分岔点和吸引子结构，将个体从抑郁状态的负向吸引子盆地（如无助感、快感缺失）推向非抑郁状态的正向吸引子盆地（如生活乐趣、积极应对）。
5,9102,2,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian inference,bayesian inference,openai/text-embedding-3-small,0.36581605672836304,-4.171553611755371,心理治疗，特别是认知行为疗法，通过挑战和重构负性核心信念，实际上是在修正个体对于自身、世界和未来的先验概率分布。通过引入新的证据（认知重构、行为实验），个体更新其信念（后验概率），从而改变对事件的解释和情绪反应，使其更符合实际情况，减少认知扭曲。
6,9102,2,step3_response.$parsed.models[2].explanation,step3_explanation,reinforcement learning,reinforcement learning,openai/text-embedding-3-small,10.08244800567627,12.235147476196289,在心理治疗中，个体学习并实践新的应对策略和行为模式。当这些新的行为导致积极的情绪体验或问题解决时，这些行为模式得到强化，成为个体应对未来挑战的首选策略。这对应于强化学习中代理人通过与环境交互，根据奖励信号调整策略以最大化长期累积奖励的过程。
7,5672,3,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,feedback control system,openai/text-embedding-3-small,13.304120063781738,1.7922909259796143,将个体的心理生理状态（如神经递质水平、负面情绪强度、自杀意念）视为系统状态变量，将药物和心理治疗视为作用于这些变量的控制器，将治疗目标（降低自杀意念、提升情绪稳定性）视为系统的设定点。通过持续监测（诊断）和调节（治疗），系统旨在从当前的不稳定、高偏差状态回归到期望的稳态。移除自残工具和建立支持网络则改变了系统的外部环境参数和扰动响应机制，增强了系统的鲁棒性。
8,5672,3,step3_response.$parsed.models[1].explanation,step3_explanation,reinforcement learning,markov decision process,openai/text-embedding-3-small,8.446783065795898,13.522272109985352,"将个体的心理状态（例如，高痛苦、低痛苦、自杀意念强烈、自杀意念微弱）定义为状态集合S。将个体可采取的行为（例如，自残、寻求帮助、使用习得的应对策略）定义为行动集合A。干预措施（药物、心理治疗、支持网络）旨在改变个体从一个状态s采取行动a后转移到下一个状态s'的转移概率P(s'|s,a)，以及采取特定行动a所获得的即时奖励或惩罚R(s,a)。通过优化这个过程，鼓励个体选择能带来更高长期奖励（如情绪稳定、生活质量提升）的行动，并降低选择带来负面奖励（如自残）的行动的概率。"
9,5672,3,step3_response.$parsed.models[2].explanation,step3_explanation,vulnerability stress model,vulnerability stress model,openai/text-embedding-3-small,6.0880584716796875,-0.2911951541900635,"该模型认为精神疾病（如重度抑郁症）是先天或后天形成的脆弱性（biological vulnerability, psychological vulnerability）与环境或生活事件中的压力源（stressors）相互作用的结果。当前的干预策略通过药物治疗直接作用于生物学脆弱性，通过心理治疗（如CBT、DBT）提升个体的心理韧性，降低其对压力的敏感度和反应强度，从而减少心理脆弱性。同时，建立紧急危机联系人名单提供外部支持，可以被视为减轻或缓冲外部压力源对个体的负面影响。最终目标是打破脆弱性与压力的恶性循环，降低疾病发作风险，促进康复。"
10,13548,4,step3_response.$parsed.models[0].explanation,step3_explanation,feedback control,dynamic system stability,openai/text-embedding-3-small,15.923596382141113,0.8147104978561401,将个体情绪状态建模为一个非线性动力学系统，其情绪起伏表现为系统状态变量随时间的变化。周期性抑郁对应于系统在特定参数下可能存在的极限环（Limit Cycle）或多稳态（Multistability）。药物治疗旨在调整系统内部参数（如神经递质浓度）以改变吸引子（Attractor）格局，将系统从不健康的极限环或不稳定的平衡点推向健康的、稳定的平衡点（稳态）。心理咨询则通过改变认知模式和行为策略，修改系统的反馈回路，从而影响系统轨迹，使其趋向更稳定的状态。社会支持则作为外部扰动的缓冲和正向反馈，增加系统的鲁棒性（Robustness）和恢复力（Resilience），防止其再次跌入不健康的吸引子盆地（Basin of Attraction）。
