id,question_index,line_no,source,source_group,merged_name,model_name,embedding_model,x,y,reasoning
1,5021,1,step3_response.$parsed.models[0].explanation,step3_explanation,constrained optimization,constrained optimization,openai/text-embedding-3-small,13.086888313293457,-0.7956075072288513,该模型将用户的核心需求「最大化当前可用现金流」设为目标函数，将「不产生逾期信用记录、不产生自付成本」设为不等式约束，求解后得到仅还最低还款额的最优可行解
2,5021,1,step3_response.$parsed.models[1].explanation,step3_explanation,intertemporal choice,intertemporal optimization,openai/text-embedding-3-small,17.27238655090332,0.7932078242301941,该模型通过将可报销的少量利息成本转移至未来报销到账时段，换取当前时段的充足流动性满足刚性支出，实现全周期效用最大化，正好适配用户的时间和成本条件
3,52770,2,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signalinggame,openai/text-embedding-3-small,-0.6463629007339478,0.5867608785629272,劳动者发送带完整证据的正式索要函，是向雇主传递自身维权能力与意愿的可置信信号，消除了雇主的信息不对称，改变了雇主对后续风险的判断
4,52770,2,step3_response.$parsed.models[1].explanation,step3_explanation,subgame perfect equilibrium,subgameperfectequilibrium,openai/text-embedding-3-small,-1.478973150253296,1.730619192123413,子博弈完美均衡会剔除不可信威胁，劳动者明确逾期维权的路径后，新的均衡从雇主拖欠转化为雇主按时支付欠薪，达成预期结果
5,11250,3,step3_response.$parsed.models[0].explanation,step3_explanation,mental accounting,mental accounting,openai/text-embedding-3-small,12.034055709838867,9.136883735656738,"It formalizes the behavioral tendency to separate money into distinct utility-based accounts, which eliminates the overspending impulse by isolating earmarked rent funds from daily discretionary spending."
6,11250,3,step3_response.$parsed.models[1].explanation,step3_explanation,terminal wealth maximization,terminal wealth maximization,openai/text-embedding-3-small,14.305815696716309,8.751852035522461,"Under predefined liquidity and risk constraints, it optimizes principal allocation to achieve the highest possible final wealth by placing all idle funds into the highest available risk-free rate account."
7,92695,4,step3_response.$parsed.models[0].explanation,step3_explanation,nash bargaining solution,nash bargaining solution,openai/text-embedding-3-small,-2.97305965423584,7.086050987243652,"This model gives the Pareto optimal equilibrium under symmetric bargaining, the strategy transforms the employer's unilateral pricing into symmetric bargaining based on mutual surplus, pushing for a reasonable equilibrium outcome that satisfies both sides."
8,92695,4,step3_response.$parsed.models[1].explanation,step3_explanation,reference dependence,reference dependence,openai/text-embedding-3-small,-0.9679232835769653,6.794584274291992,"This model defines utility as a function of gain/loss relative to a reference point instead of absolute value, the strategy corrects the employer's utility judgment by replacing the wrong reference point, increasing the acceptance probability of the reasonable salary request."
9,6180,5,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,0.7758060097694397,0.03930753841996193,求职者通过主动发送匹配当前岗位职责的灵活薪资信号，修正了初始高报价传递的错误信号，让招聘方获得求职者真实保留工资的准确信息，消除了信息不对称带来的决策障碍
10,6180,5,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian updating,bayesian updating,openai/text-embedding-3-small,1.5308566093444824,1.498918890953064,原本招聘方基于初始高报价，更新得到求职者薪资要求超出预算的高后验概率，新信息输入后，招聘方会修正后验概率，降低求职者不匹配的概率，提升求职者被选中的可能性
11,29878,6,step3_response.$parsed.models[0].explanation,step3_explanation,anchoring effect,anchoring effect,openai/text-embedding-3-small,-0.6756110191345215,4.34787130355835,该模型指出个体对数值的判断会被初始呈现的参考值锚定偏移，主动提出合理区间内的最高额度作为初始锚点，会将雇主对可接受补贴的判断拉向更高区间，消除原有低成本锚定的影响
12,29878,6,step3_response.$parsed.models[1].explanation,step3_explanation,utility theory,expected utility maximization,openai/text-embedding-3-small,13.15063190460205,2.0623326301574707,该模型给出不确定条件下的最优决策规则，锚定最高合理额度的期望补贴收益显著高于锚定中低额度，完全匹配申请人最大化补贴的目标要求
13,67680,7,step3_response.$parsed.models[0].explanation,step3_explanation,anchoring effect,anchoringeffect,openai/text-embedding-3-small,-0.7268241047859192,3.918759346008301,锚定效应描述决策过程中个体判断会被初始接触的数值锚定，本干预把薪资定价的初始锚从偏低的求职者历史收入，更换为招聘方公开承诺的薪资区间下限，引导招聘方围绕新锚调整报价，打破原有压低薪资的机制
14,67680,7,step3_response.$parsed.models[1].explanation,step3_explanation,nash bargaining solution,nashbargainingsolution,openai/text-embedding-3-small,-3.242440700531006,3.747148036956787,该模型基于给定的议价可行集和参与人保留点推导均衡分配结果，本策略将招聘方公开的薪资区间设为合法可行集，把保留点锚定在区间下限，推导出符合事前约定的公平均衡，同时可暴露对方的非合作不诚信偏好
15,11657,8,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling theory,openai/text-embedding-3-small,0.23075592517852783,-2.82814621925354,该模型刻画了信息不对称场景中，信息优势方通过发送可信信号降低双方信息差的机制，本问题中通过对齐JD关键词、替换量化成果，求职者输出了清晰可信的能力匹配信号，降低了招聘方的识别成本，消除了筛选障碍
16,11657,8,step3_response.$parsed.models[1].explanation,step3_explanation,matching theory,matching theory,openai/text-embedding-3-small,6.842576503753662,-1.8398308753967285,该模型研究两个独立集合间如何找出最大化总效用的配对关系，本问题中通过对齐岗位核心需求，求职者凸显了与目标岗位的高匹配度，提升了自身成为最优匹配对的概率
17,5050,9,step3_response.$parsed.models[0].explanation,step3_explanation,multi armed bandit,multi armed bandit,openai/text-embedding-3-small,10.000954627990723,0.6879994869232178,该模型以长期累计收益最大化为决策目标，针对早期生涯决策，要求优先探索长期期望更高的选项，选择洛克希德马丁SWE岗位放弃短期更高收益，完全符合模型给出的最优决策规则
18,5050,9,step3_response.$parsed.models[1].explanation,step3_explanation,feedback control,positive feedback loop,openai/text-embedding-3-small,4.988115310668945,4.717810153961182,原状态为停滞负循环：无正式SWE经验→无法积累SWE技能→更难获得SWE岗位，干预后切换为增长正循环：获得正式SWE岗位→积累经验提升技能→增强求职竞争力→获得更优SWE机会，持续放大职业长期价值
19,47853,10,step3_response.$parsed.models[0].explanation,step3_explanation,signaling game,signaling game,openai/text-embedding-3-small,1.712360143661499,9.088746070861816,"As the informed player, the candidate sends a credible clear signal of their decision logic and research demand to the recruiter, eliminating information asymmetry and correcting the recruiter's wrong prior belief that a salary increase will guarantee acceptance"
20,47853,10,step3_response.$parsed.models[1].explanation,step3_explanation,bayesian updating,bayesian updating,openai/text-embedding-3-small,1.7162796258926392,7.3073625564575195,"The recruiter updates the prior belief 'salary increase equals acceptance' to a posterior belief matching the real situation, adjusts their own decision expectation, and avoids unnecessary sunk cost of internal approval and occupied candidate quota"
21,8726,11,step3_response.$parsed.models[0].explanation,step3_explanation,minimax,minimax decision rule,openai/text-embedding-3-small,-2.710878372192383,7.912833213806152,"This model optimizes by minimizing the maximum possible loss, the proposed strategy locks the worst-case result as retaining the original offer with zero maximum loss, while retaining the upward gain of a salary increase."
22,8726,11,step3_response.$parsed.models[1].explanation,step3_explanation,nash bargaining solution,nash bargaining solution,openai/text-embedding-3-small,-2.4957849979400635,6.3508758544921875,"This model requires bargaining requests to fall within the pre-agreed feasible set, the candidate's request of $40000 is still within the previously stated salary range, meets the feasible solution constraint and does not trigger the employer's rejection motive."
23,101377,12,step3_response.$parsed.models[0].explanation,step3_explanation,net present value,net present value,openai/text-embedding-3-small,12.799007415771484,7.483705043792725,"This model discounts all current and future costs and benefits of the two strategies of renting to repay debt and short-term home purchase at a unified discount rate, quantifies and obtains the renting strategy with higher net present value, and provides core mathematical basis for the decision"
